,rsu,TR,weights,n_veh,n_buses,n_sav,n_chs,stab_eval,connected_componentes
0,no,200,[0. 0. 1.],49,5,1.05,25.566666666666666,0.35995014406409603,25.566666666666666
1,no,200,[0.  0.1 0.9],49,5,1.0666666666666667,24.8,0.3514620374874961,24.8
2,no,200,[0.  0.2 0.8],49,5,1.0833333333333333,24.016666666666666,0.3520049469589771,24.016666666666666
3,no,200,[0.  0.3 0.7],49,5,1.1333333333333333,23.983333333333334,0.37095925678682184,23.983333333333334
4,no,200,[0.  0.4 0.6],49,5,1.1333333333333333,23.983333333333334,0.37095925678682184,23.983333333333334
5,no,200,[0.  0.5 0.5],49,5,1.1333333333333333,23.983333333333334,0.3692925901201552,23.983333333333334
6,no,200,[0.  0.6 0.4],49,5,1.0666666666666667,23.383333333333333,0.3907148123423774,23.383333333333333
7,no,200,[0.  0.7 0.3],49,5,1.1,22.733333333333334,0.3859404478302175,22.733333333333334
8,no,200,[0.  0.8 0.2],49,5,1.1,22.733333333333334,0.3859404478302175,22.733333333333334
9,no,200,[0.  0.9 0.1],49,5,1.1,23.916666666666668,0.3770896853029844,23.916666666666668
10,no,200,[0. 1. 0.],49,5,1.1,23.85,0.3634503198345749,23.85
11,no,200,[0.1 0.  0.9],49,5,1.05,25.566666666666666,0.35995014406409603,25.566666666666666
12,no,200,[0.1 0.1 0.8],49,5,1.0666666666666667,24.8,0.34806067694327847,24.8
13,no,200,[0.1 0.2 0.7],49,5,1.1666666666666667,23.566666666666666,0.36616413500623735,23.566666666666666
14,no,200,[0.1 0.3 0.6],49,5,1.1333333333333333,23.983333333333334,0.37095925678682184,23.983333333333334
15,no,200,[0.1 0.4 0.5],49,5,1.1333333333333333,23.983333333333334,0.37095925678682184,23.983333333333334
16,no,200,[0.1 0.5 0.4],49,5,1.0666666666666667,23.383333333333333,0.3933814790090441,23.383333333333333
17,no,200,[0.1 0.6 0.3],49,5,1.1,22.966666666666665,0.38602214717662275,22.966666666666665
18,no,200,[0.1 0.7 0.2],49,5,1.1,22.966666666666665,0.38602214717662275,22.966666666666665
19,no,200,[0.1 0.8 0.1],49,5,1.1,23.916666666666668,0.3770896853029844,23.916666666666668
20,no,200,[0.1 0.9 0. ],49,5,1.1,23.85,0.3634503198345749,23.85
