time,packet_uid,from_holder,to_holder,selected_edge,cum_hops
1696,1600:13597:packet0,veh827,veh951,1171265452#1,6
1696,1600:13597:packet0,veh951,veh932,787217965#2,7
1696,1600:13597:packet0,veh932,veh905,787217965#2,8
1696,1600:13597:packet0,veh905,veh945,:cluster_2460622856_2460622857_2460622858_2460622862_#8more_6,9
1696,1600:13597:packet1,veh827,veh951,1171265452#1,6
1696,1600:13597:packet1,veh951,veh932,787217965#2,7
1696,1600:13597:packet1,veh932,veh905,787217965#2,8
1696,1600:13597:packet1,veh905,veh945,:cluster_2460622856_2460622857_2460622858_2460622862_#8more_6,9
1696,1600:13597:packet2,veh827,veh951,1171265452#1,6
1696,1600:13597:packet2,veh951,veh932,787217965#2,7
1696,1600:13597:packet2,veh932,veh905,787217965#2,8
1696,1600:13597:packet2,veh905,veh945,:cluster_2460622856_2460622857_2460622858_2460622862_#8more_6,9
1696,1603:13660:packet0,veh827,veh951,1171265452#1,21
1696,1603:13660:packet0,veh951,veh932,787217965#2,22
1696,1603:13660:packet0,veh932,veh905,787217965#2,23
1696,1603:13660:packet0,veh905,veh945,:cluster_2460622856_2460622857_2460622858_2460622862_#8more_6,24
1696,1603:13660:packet1,veh827,veh951,1171265452#1,22
1696,1603:13660:packet1,veh951,veh932,787217965#2,23
1696,1603:13660:packet1,veh932,veh905,787217965#2,24
1696,1603:13660:packet1,veh905,veh945,:cluster_2460622856_2460622857_2460622858_2460622862_#8more_6,25
1696,1603:13660:packet2,veh827,veh951,1171265452#1,22
1696,1603:13660:packet2,veh951,veh932,787217965#2,23
1696,1603:13660:packet2,veh932,veh905,787217965#2,24
1696,1603:13660:packet2,veh905,veh945,:cluster_2460622856_2460622857_2460622858_2460622862_#8more_6,25
1696,1603:13660:packet3,veh827,veh951,1171265452#1,22
1696,1603:13660:packet3,veh951,veh932,787217965#2,23
1696,1603:13660:packet3,veh932,veh905,787217965#2,24
1696,1603:13660:packet3,veh905,veh945,:cluster_2460622856_2460622857_2460622858_2460622862_#8more_6,25
1696,1603:13660:packet4,veh827,veh951,1171265452#1,22
1696,1603:13660:packet4,veh951,veh932,787217965#2,23
1696,1603:13660:packet4,veh932,veh905,787217965#2,24
1696,1603:13660:packet4,veh905,veh945,:cluster_2460622856_2460622857_2460622858_2460622862_#8more_6,25
1696,1603:13660:packet5,veh827,veh951,1171265452#1,22
1696,1603:13660:packet5,veh951,veh932,787217965#2,23
1696,1603:13660:packet5,veh932,veh905,787217965#2,24
1696,1603:13660:packet5,veh905,veh945,:cluster_2460622856_2460622857_2460622858_2460622862_#8more_6,25
1696,1603:13660:packet6,veh827,veh951,1171265452#1,22
1696,1603:13660:packet6,veh951,veh932,787217965#2,23
1696,1603:13660:packet6,veh932,veh905,787217965#2,24
1696,1603:13660:packet6,veh905,veh945,:cluster_2460622856_2460622857_2460622858_2460622862_#8more_6,25
1696,1603:13660:packet7,veh827,veh951,1171265452#1,25
1696,1603:13660:packet7,veh951,veh932,787217965#2,26
1696,1603:13660:packet7,veh932,veh905,787217965#2,27
1696,1603:13660:packet7,veh905,veh945,:cluster_2460622856_2460622857_2460622858_2460622862_#8more_6,28
1696,1603:13660:packet8,veh827,veh951,1171265452#1,25
1696,1603:13660:packet8,veh951,veh932,787217965#2,26
1696,1603:13660:packet8,veh932,veh905,787217965#2,27
1696,1603:13660:packet8,veh905,veh945,:cluster_2460622856_2460622857_2460622858_2460622862_#8more_6,28
1696,1603:13660:packet9,veh827,veh951,1171265452#1,23
1696,1603:13660:packet9,veh951,veh932,787217965#2,24
1696,1603:13660:packet9,veh932,veh905,787217965#2,25
1696,1603:13660:packet9,veh905,veh945,:cluster_2460622856_2460622857_2460622858_2460622862_#8more_6,26
1696,1608:13772:packet0,veh827,veh951,1171265452#1,25
1696,1608:13772:packet0,veh951,veh932,787217965#2,26
1696,1608:13772:packet0,veh932,veh905,787217965#2,27
1696,1608:13772:packet0,veh905,veh945,:cluster_2460622856_2460622857_2460622858_2460622862_#8more_6,28
1696,1608:13772:packet1,veh827,veh951,1171265452#1,24
1696,1608:13772:packet1,veh951,veh932,787217965#2,25
1696,1608:13772:packet1,veh932,veh905,787217965#2,26
1696,1608:13772:packet1,veh905,veh945,:cluster_2460622856_2460622857_2460622858_2460622862_#8more_6,27
1696,1608:13772:packet2,veh827,veh951,1171265452#1,25
1696,1608:13772:packet2,veh951,veh932,787217965#2,26
1696,1608:13772:packet2,veh932,veh905,787217965#2,27
1696,1608:13772:packet2,veh905,veh945,:cluster_2460622856_2460622857_2460622858_2460622862_#8more_6,28
1696,1608:13772:packet3,veh827,veh951,1171265452#1,27
1696,1608:13772:packet3,veh951,veh932,787217965#2,28
1696,1608:13772:packet3,veh932,veh905,787217965#2,29
1696,1608:13772:packet3,veh905,veh945,:cluster_2460622856_2460622857_2460622858_2460622862_#8more_6,30
1696,1608:13772:packet4,veh827,veh951,1171265452#1,27
1696,1608:13772:packet4,veh951,veh932,787217965#2,28
1696,1608:13772:packet4,veh932,veh905,787217965#2,29
1696,1608:13772:packet4,veh905,veh945,:cluster_2460622856_2460622857_2460622858_2460622862_#8more_6,30
1696,1608:13772:packet5,veh827,veh951,1171265452#1,24
1696,1608:13772:packet5,veh951,veh932,787217965#2,25
1696,1608:13772:packet5,veh932,veh905,787217965#2,26
1696,1608:13772:packet5,veh905,veh945,:cluster_2460622856_2460622857_2460622858_2460622862_#8more_6,27
1696,1608:13772:packet6,veh827,veh951,1171265452#1,27
1696,1608:13772:packet6,veh951,veh932,787217965#2,28
1696,1608:13772:packet6,veh932,veh905,787217965#2,29
1696,1608:13772:packet6,veh905,veh945,:cluster_2460622856_2460622857_2460622858_2460622862_#8more_6,30
1696,1608:13772:packet7,veh827,veh951,1171265452#1,27
1696,1608:13772:packet7,veh951,veh932,787217965#2,28
1696,1608:13772:packet7,veh932,veh905,787217965#2,29
1696,1608:13772:packet7,veh905,veh945,:cluster_2460622856_2460622857_2460622858_2460622862_#8more_6,30
1696,1608:13772:packet8,veh827,veh951,1171265452#1,25
1696,1608:13772:packet8,veh951,veh932,787217965#2,26
1696,1608:13772:packet8,veh932,veh905,787217965#2,27
1696,1608:13772:packet8,veh905,veh945,:cluster_2460622856_2460622857_2460622858_2460622862_#8more_6,28
1696,1608:13772:packet9,veh827,veh951,1171265452#1,27
1696,1608:13772:packet9,veh951,veh932,787217965#2,28
1696,1608:13772:packet9,veh932,veh905,787217965#2,29
1696,1608:13772:packet9,veh905,veh945,:cluster_2460622856_2460622857_2460622858_2460622862_#8more_6,30
1696,1610:13795:packet0,veh961,veh882,:7744298216_0,22
1696,1610:13795:packet1,veh961,veh882,:7744298216_0,25
1696,1610:13795:packet2,veh961,veh882,:7744298216_0,23
1696,1610:13795:packet3,veh961,veh882,:7744298216_0,22
1696,1610:13795:packet4,veh961,veh882,:7744298216_0,23
1696,1610:13795:packet5,veh961,veh882,:7744298216_0,23
1696,1610:13795:packet6,veh961,veh882,:7744298216_0,23
1696,1610:13795:packet7,veh961,veh882,:7744298216_0,25
1696,1611:13822:packet0,veh951,veh827,-859881540,22
1696,1611:13822:packet1,veh951,veh827,-859881540,24
1696,1611:13822:packet2,veh951,veh827,-859881540,23
1696,1611:13822:packet3,veh951,veh827,-859881540,24
1696,1613:13858:packet0,veh951,veh827,-859881540,7
1696,1613:13858:packet0,veh827,veh880,-157801818#4,8
1696,1613:13858:packet0,veh880,veh873,-157801818#1,9
1696,1613:13858:packet0,veh873,veh860,-48756664,10
1696,1613:13858:packet0,veh860,veh835,829376220#1,11
1696,1613:13858:packet1,veh951,veh827,-859881540,7
1696,1613:13858:packet1,veh827,veh880,-157801818#4,8
1696,1613:13858:packet1,veh880,veh873,-157801818#1,9
1696,1613:13858:packet1,veh873,veh860,-48756664,10
1696,1613:13858:packet1,veh860,veh835,829376220#1,11
1696,1613:13858:packet2,veh951,veh827,-859881540,7
1696,1613:13858:packet2,veh827,veh880,-157801818#4,8
1696,1613:13858:packet2,veh880,veh873,-157801818#1,9
1696,1613:13858:packet2,veh873,veh860,-48756664,10
1696,1613:13858:packet2,veh860,veh835,829376220#1,11
1696,1613:13858:packet3,veh951,veh827,-859881540,7
1696,1613:13858:packet3,veh827,veh880,-157801818#4,8
1696,1613:13858:packet3,veh880,veh873,-157801818#1,9
1696,1613:13858:packet3,veh873,veh860,-48756664,10
1696,1613:13858:packet3,veh860,veh835,829376220#1,11
1696,1613:13858:packet4,veh951,veh827,-859881540,7
1696,1613:13858:packet4,veh827,veh880,-157801818#4,8
1696,1613:13858:packet4,veh880,veh873,-157801818#1,9
1696,1613:13858:packet4,veh873,veh860,-48756664,10
1696,1613:13858:packet4,veh860,veh835,829376220#1,11
1696,1613:13858:packet5,veh951,veh827,-859881540,7
1696,1613:13858:packet5,veh827,veh880,-157801818#4,8
1696,1613:13858:packet5,veh880,veh873,-157801818#1,9
1696,1613:13858:packet5,veh873,veh860,-48756664,10
1696,1613:13858:packet5,veh860,veh835,829376220#1,11
