,rsu,TR,weights,n_veh,n_buses,n_sav,n_chs,eval
0,yes,600,[0. 0. 1.],49,7,0,10,0.5609504880652787
1,yes,600,[0.  0.1 0.9],49,7,0,10,0.5516314916495082
2,yes,600,[0.  0.2 0.8],49,7,0,11,0.5699596774193548
3,yes,600,[0.  0.3 0.7],49,7,0,11,0.5699596774193548
4,yes,600,[0.  0.4 0.6],49,7,0,11,0.5557123655913978
5,yes,600,[0.  0.5 0.5],49,7,0,11,0.5637768817204301
6,yes,600,[0.  0.6 0.4],49,7,0,12,0.5535291438979962
7,yes,600,[0.  0.7 0.3],49,7,0,12,0.5535291438979962
8,yes,600,[0.  0.8 0.2],49,7,0,11,0.5346550179211468
9,yes,600,[0.  0.9 0.1],49,7,0,11,0.5422715053763442
10,yes,600,[0. 1. 0.],49,7,0,10,0.5288139329805995
11,yes,600,[0.1 0.  0.9],49,7,0,10,0.5609504880652787
12,yes,600,[0.1 0.1 0.8],49,7,0,11,0.5887768817204301
13,yes,600,[0.1 0.2 0.7],49,7,0,11,0.5699596774193548
14,yes,600,[0.1 0.3 0.6],49,7,0,11,0.5699596774193548
15,yes,600,[0.1 0.4 0.5],49,7,0,11,0.5557123655913978
16,yes,600,[0.1 0.5 0.4],49,7,0,11,0.5629704301075269
17,yes,600,[0.1 0.6 0.3],49,7,0,12,0.5535291438979962
18,yes,600,[0.1 0.7 0.2],49,7,0,12,0.5458788706739525
19,yes,600,[0.1 0.8 0.1],49,7,0,11,0.5422715053763442
20,yes,600,[0.1 0.9 0. ],49,7,0,10,0.5288139329805995
21,yes,600,[0.2 0.  0.8],49,7,0,10,0.5609504880652787
22,yes,600,[0.2 0.1 0.7],49,7,0,11,0.5807123655913978
23,yes,600,[0.2 0.2 0.6],49,7,0,11,0.5699596774193548
24,yes,600,[0.2 0.3 0.5],49,7,0,11,0.5618951612903226
25,yes,600,[0.2 0.4 0.4],49,7,0,11,0.5637768817204301
26,yes,600,[0.2 0.5 0.3],49,7,0,12,0.5535291438979962
27,yes,600,[0.2 0.6 0.2],49,7,0,12,0.5540755919854279
28,yes,600,[0.2 0.7 0.1],49,7,0,11,0.5422715053763442
29,yes,600,[0.2 0.8 0. ],49,7,0,10,0.5288139329805995
30,yes,600,[0.3 0.  0.7],49,7,0,10,0.5609504880652787
31,yes,600,[0.3 0.1 0.6],49,7,0,11,0.5807123655913978
32,yes,600,[0.3 0.2 0.5],49,7,0,11,0.5699596774193548
33,yes,600,[0.3 0.3 0.4],49,7,0,11,0.5557123655913978
34,yes,600,[0.3 0.4 0.3],49,7,0,12,0.5540755919854279
35,yes,600,[0.3 0.5 0.2],49,7,0,12,0.5535291438979962
36,yes,600,[0.3 0.6 0.1],49,7,0,11,0.5333109318996414
37,yes,600,[0.3 0.7 0. ],49,7,0,10,0.5288139329805995
38,yes,600,[0.4 0.  0.6],49,7,0,10,0.5609504880652787
39,yes,600,[0.4 0.1 0.5],49,7,0,11,0.5780241935483871
40,yes,600,[0.4 0.2 0.4],49,7,0,11,0.5699596774193548
41,yes,600,[0.4 0.3 0.3],49,7,0,11,0.5637768817204301
42,yes,600,[0.4 0.4 0.2],49,7,0,12,0.5535291438979962
43,yes,600,[0.4 0.5 0.1],49,7,0,11,0.5333109318996414
44,yes,600,[0.4 0.6 0. ],49,7,0,10,0.5288139329805995
45,yes,600,[0.5 0.  0.5],49,7,0,10,0.5609504880652787
46,yes,600,[0.5 0.1 0.4],49,7,0,11,0.5699596774193548
47,yes,600,[0.5 0.2 0.3],49,7,0,11,0.5557123655913978
48,yes,600,[0.5 0.3 0.2],49,7,0,12,0.5535291438979962
49,yes,600,[0.5 0.4 0.1],49,7,0,11,0.5346550179211468
50,yes,600,[0.5 0.5 0. ],49,7,0,10,0.5288139329805995
51,yes,600,[0.6 0.  0.4],49,7,0,10,0.5609504880652787
52,yes,600,[0.6 0.1 0.3],49,7,0,11,0.5699596774193548
53,yes,600,[0.6 0.2 0.2],49,7,0,11,0.5637768817204301
54,yes,600,[0.6 0.3 0.1],49,7,0,12,0.5540755919854279
55,yes,600,[0.6 0.4 0. ],49,7,0,10,0.5288139329805995
56,yes,600,[0.7 0.  0.3],49,7,0,10,0.5609504880652787
57,yes,600,[0.7 0.1 0.2],49,7,0,11,0.5699596774193548
58,yes,600,[0.7 0.2 0.1],49,7,0,12,0.5535291438979962
59,yes,600,[0.7 0.3 0. ],49,7,0,10,0.5288139329805995
60,yes,600,[0.8 0.  0.2],49,7,0,10,0.5609504880652787
61,yes,600,[0.8 0.1 0.1],49,7,0,11,0.5637768817204301
62,yes,600,[ 0.8  0.2 -0. ],49,7,0,10,0.5288139329805995
63,yes,600,[0.9 0.  0.1],49,7,0,10,0.5609504880652787
64,yes,600,[ 0.9  0.1 -0. ],49,7,0,10,0.5288139329805995
65,yes,600,[1. 0. 0.],49,7,0,11,0.5444531345602358
