,rsu,TR,weights,n_veh,n_buses,n_sav,n_chs,eval
0,no,300,[0. 0. 1.],49,5,4,14,0.4522368997932257
1,no,300,[0.  0.1 0.9],49,5,4,13,0.4516059361231753
2,no,300,[0.  0.2 0.8],49,5,4,13,0.4516059361231753
3,no,300,[0.  0.3 0.7],49,5,3,13,0.4314670472342865
4,no,300,[0.  0.4 0.6],49,5,3,13,0.4229924709631
5,no,300,[0.  0.5 0.5],49,5,3,14,0.4275431475201045
6,no,300,[0.  0.6 0.4],49,5,3,14,0.4286495505332872
7,no,300,[0.  0.7 0.3],49,5,3,14,0.43939343000598025
8,no,300,[0.  0.8 0.2],49,5,3,14,0.44645557689863563
9,no,300,[0.  0.9 0.1],49,5,3,14,0.43638966352763753
10,no,300,[0. 1. 0.],49,5,3,15,0.4203906452161418
11,no,300,[0.1 0.  0.9],49,5,4,14,0.4522368997932257
12,no,300,[0.1 0.1 0.8],49,5,4,13,0.4516059361231753
13,no,300,[0.1 0.2 0.7],49,5,4,13,0.4516059361231753
14,no,300,[0.1 0.3 0.6],49,5,3,13,0.4314670472342865
15,no,300,[0.1 0.4 0.5],49,5,3,13,0.4314670472342865
16,no,300,[0.1 0.5 0.4],49,5,3,14,0.4275431475201045
17,no,300,[0.1 0.6 0.3],49,5,3,14,0.4280939949777317
18,no,300,[0.1 0.7 0.2],49,5,3,14,0.44645557689863563
19,no,300,[0.1 0.8 0.1],49,5,3,14,0.43638966352763753
20,no,300,[0.1 0.9 0. ],49,5,3,15,0.4203906452161418
21,no,300,[0.2 0.  0.8],49,5,4,14,0.4522368997932257
22,no,300,[0.2 0.1 0.7],49,5,4,13,0.4516059361231753
23,no,300,[0.2 0.2 0.6],49,5,4,13,0.4516059361231753
24,no,300,[0.2 0.3 0.5],49,5,3,13,0.4314670472342865
25,no,300,[0.2 0.4 0.4],49,5,3,14,0.4275431475201045
26,no,300,[0.2 0.5 0.3],49,5,3,14,0.4286495505332872
27,no,300,[0.2 0.6 0.2],49,5,3,14,0.44645557689863563
28,no,300,[0.2 0.7 0.1],49,5,3,14,0.43638966352763753
29,no,300,[0.2 0.8 0. ],49,5,3,15,0.4203906452161418
30,no,300,[0.3 0.  0.7],49,5,4,14,0.4522368997932257
31,no,300,[0.3 0.1 0.6],49,5,4,13,0.4516059361231753
32,no,300,[0.3 0.2 0.5],49,5,3,13,0.4314670472342865
33,no,300,[0.3 0.3 0.4],49,5,3,13,0.4314670472342865
34,no,300,[0.3 0.4 0.3],49,5,3,14,0.4286495505332872
35,no,300,[0.3 0.5 0.2],49,5,3,14,0.44645557689863563
36,no,300,[0.3 0.6 0.1],49,5,3,14,0.44645557689863563
37,no,300,[0.3 0.7 0. ],49,5,3,15,0.4203906452161418
38,no,300,[0.4 0.  0.6],49,5,4,14,0.4522368997932257
39,no,300,[0.4 0.1 0.5],49,5,4,13,0.4516059361231753
40,no,300,[0.4 0.2 0.4],49,5,3,13,0.4314670472342865
41,no,300,[0.4 0.3 0.3],49,5,3,14,0.4275431475201045
42,no,300,[0.4 0.4 0.2],49,5,3,14,0.4280939949777317
43,no,300,[0.4 0.5 0.1],49,5,3,14,0.44645557689863563
44,no,300,[0.4 0.6 0. ],49,5,3,15,0.4203906452161418
45,no,300,[0.5 0.  0.5],49,5,4,14,0.4522368997932257
46,no,300,[0.5 0.1 0.4],49,5,4,13,0.4516059361231753
47,no,300,[0.5 0.2 0.3],49,5,3,13,0.4229924709631
48,no,300,[0.5 0.3 0.2],49,5,3,14,0.4286495505332872
49,no,300,[0.5 0.4 0.1],49,5,3,14,0.44645557689863563
50,no,300,[0.5 0.5 0. ],49,5,3,15,0.4203906452161418
51,no,300,[0.6 0.  0.4],49,5,4,14,0.4522368997932257
52,no,300,[0.6 0.1 0.3],49,5,4,13,0.4516059361231753
53,no,300,[0.6 0.2 0.2],49,5,3,14,0.4275431475201045
54,no,300,[0.6 0.3 0.1],49,5,3,14,0.44645557689863563
55,no,300,[0.6 0.4 0. ],49,5,3,15,0.4203906452161418
56,no,300,[0.7 0.  0.3],49,5,4,14,0.4522368997932257
57,no,300,[0.7 0.1 0.2],49,5,3,13,0.4314670472342865
58,no,300,[0.7 0.2 0.1],49,5,3,14,0.4280939949777317
59,no,300,[0.7 0.3 0. ],49,5,3,15,0.4203906452161418
60,no,300,[0.8 0.  0.2],49,5,4,14,0.4522368997932257
61,no,300,[0.8 0.1 0.1],49,5,3,14,0.4275431475201045
62,no,300,[ 0.8  0.2 -0. ],49,5,3,15,0.4203906452161418
63,no,300,[0.9 0.  0.1],49,5,4,14,0.4522368997932257
64,no,300,[ 0.9  0.1 -0. ],49,5,3,15,0.4203906452161418
65,no,300,[1. 0. 0.],49,5,5,13,0.3875972359009569
