,rsu,TR,weights,n_veh,n_buses,n_sav,n_chs,eval
0,no,500,[0. 0. 1.],49,5,0,11,0.5405791895718807
1,no,500,[0.  0.1 0.9],49,5,0,11,0.5398291168743113
2,no,500,[0.  0.2 0.8],49,5,0,11,0.5295951987456564
3,no,500,[0.  0.3 0.7],49,5,0,11,0.5325191753538435
4,no,500,[0.  0.4 0.6],49,5,0,11,0.5288959869480464
5,no,500,[0.  0.5 0.5],49,5,0,12,0.526825073326432
6,no,500,[0.  0.6 0.4],49,5,0,12,0.526825073326432
7,no,500,[0.  0.7 0.3],49,5,0,11,0.5499751984126984
8,no,500,[0.  0.8 0.2],49,5,0,11,0.5514632936507936
9,no,500,[0.  0.9 0.1],49,5,0,11,0.560391865079365
10,no,500,[0. 1. 0.],49,5,0,11,0.5650421626984127
11,no,500,[0.1 0.  0.9],49,5,0,11,0.5405791895718807
12,no,500,[0.1 0.1 0.8],49,5,0,11,0.5398291168743113
13,no,500,[0.1 0.2 0.7],49,5,0,11,0.5295951987456564
14,no,500,[0.1 0.3 0.6],49,5,0,11,0.53105718704975
15,no,500,[0.1 0.4 0.5],49,5,0,11,0.5318199635562336
16,no,500,[0.1 0.5 0.4],49,5,0,12,0.526825073326432
17,no,500,[0.1 0.6 0.3],49,5,0,11,0.5499751984126984
18,no,500,[0.1 0.7 0.2],49,5,0,11,0.560391865079365
19,no,500,[0.1 0.8 0.1],49,5,0,11,0.560391865079365
20,no,500,[0.1 0.9 0. ],49,5,0,11,0.5650421626984127
21,no,500,[0.2 0.  0.8],49,5,0,11,0.5405791895718807
22,no,500,[0.2 0.1 0.7],49,5,0,11,0.5398291168743113
23,no,500,[0.2 0.2 0.6],49,5,0,11,0.5295951987456564
24,no,500,[0.2 0.3 0.5],49,5,0,11,0.5288959869480464
25,no,500,[0.2 0.4 0.4],49,5,0,12,0.526825073326432
26,no,500,[0.2 0.5 0.3],49,5,0,12,0.526825073326432
27,no,500,[0.2 0.6 0.2],49,5,0,11,0.5514632936507936
28,no,500,[0.2 0.7 0.1],49,5,0,11,0.560391865079365
29,no,500,[0.2 0.8 0. ],49,5,0,11,0.5650421626984127
30,no,500,[0.3 0.  0.7],49,5,0,11,0.5405791895718807
31,no,500,[0.3 0.1 0.6],49,5,0,11,0.541291105178405
32,no,500,[0.3 0.2 0.5],49,5,0,11,0.5295951987456564
33,no,500,[0.3 0.3 0.4],49,5,0,11,0.5318199635562336
34,no,500,[0.3 0.4 0.3],49,5,0,12,0.526825073326432
35,no,500,[0.3 0.5 0.2],49,5,0,11,0.5499751984126984
36,no,500,[0.3 0.6 0.1],49,5,0,11,0.560391865079365
37,no,500,[0.3 0.7 0. ],49,5,0,11,0.5650421626984127
38,no,500,[0.4 0.  0.6],49,5,0,11,0.5405791895718807
39,no,500,[0.4 0.1 0.5],49,5,0,11,0.5295951987456564
40,no,500,[0.4 0.2 0.4],49,5,0,11,0.53105718704975
41,no,500,[0.4 0.3 0.3],49,5,0,12,0.526825073326432
42,no,500,[0.4 0.4 0.2],49,5,0,11,0.5499751984126984
43,no,500,[0.4 0.5 0.1],49,5,0,11,0.560391865079365
44,no,500,[0.4 0.6 0. ],49,5,0,11,0.5650421626984127
45,no,500,[0.5 0.  0.5],49,5,0,11,0.5405791895718807
46,no,500,[0.5 0.1 0.4],49,5,0,11,0.5295951987456564
47,no,500,[0.5 0.2 0.3],49,5,0,11,0.5288959869480464
48,no,500,[0.5 0.3 0.2],49,5,0,12,0.526825073326432
49,no,500,[0.5 0.4 0.1],49,5,0,11,0.5514632936507936
50,no,500,[0.5 0.5 0. ],49,5,0,11,0.5650421626984127
51,no,500,[0.6 0.  0.4],49,5,0,11,0.5405791895718807
52,no,500,[0.6 0.1 0.3],49,5,0,11,0.5295951987456564
53,no,500,[0.6 0.2 0.2],49,5,0,12,0.526825073326432
54,no,500,[0.6 0.3 0.1],49,5,0,11,0.5514632936507936
55,no,500,[0.6 0.4 0. ],49,5,0,11,0.5650421626984127
56,no,500,[0.7 0.  0.3],49,5,0,11,0.5405791895718807
57,no,500,[0.7 0.1 0.2],49,5,0,11,0.53105718704975
58,no,500,[0.7 0.2 0.1],49,5,0,11,0.5499751984126984
59,no,500,[0.7 0.3 0. ],49,5,0,11,0.5650421626984127
60,no,500,[0.8 0.  0.2],49,5,0,11,0.5405791895718807
61,no,500,[0.8 0.1 0.1],49,5,0,12,0.526825073326432
62,no,500,[ 0.8  0.2 -0. ],49,5,0,11,0.5650421626984127
63,no,500,[0.9 0.  0.1],49,5,0,11,0.5405791895718807
64,no,500,[ 0.9  0.1 -0. ],49,5,0,11,0.5650421626984127
65,no,500,[1. 0. 0.],49,5,0,11,0.5176215277777777
