,rsu,TR,weights,n_veh,n_buses,n_sav,n_chs,eval
0,no,600,[0. 0. 1.],49,5,0,11,0.5625683060109289
1,no,600,[0.  0.1 0.9],49,5,0,11,0.5612704918032786
2,no,600,[0.  0.2 0.8],49,5,0,11,0.5503415300546448
3,no,600,[0.  0.3 0.7],49,5,0,11,0.5503415300546448
4,no,600,[0.  0.4 0.6],49,5,0,11,0.5503415300546448
5,no,600,[0.  0.5 0.5],49,5,0,11,0.5503415300546448
6,no,600,[0.  0.6 0.4],49,5,0,11,0.5503415300546448
7,no,600,[0.  0.7 0.3],49,5,0,11,0.5577185792349726
8,no,600,[0.  0.8 0.2],49,5,0,11,0.5650956284153005
9,no,600,[0.  0.9 0.1],49,5,0,11,0.5650956284153005
10,no,600,[0. 1. 0.],49,5,0,12,0.5541666666666666
11,no,600,[0.1 0.  0.9],49,5,0,11,0.5625683060109289
12,no,600,[0.1 0.1 0.8],49,5,0,11,0.5612704918032786
13,no,600,[0.1 0.2 0.7],49,5,0,11,0.5503415300546448
14,no,600,[0.1 0.3 0.6],49,5,0,11,0.5503415300546448
15,no,600,[0.1 0.4 0.5],49,5,0,11,0.5503415300546448
16,no,600,[0.1 0.5 0.4],49,5,0,11,0.5503415300546448
17,no,600,[0.1 0.6 0.3],49,5,0,11,0.5503415300546448
18,no,600,[0.1 0.7 0.2],49,5,0,11,0.5650956284153005
19,no,600,[0.1 0.8 0.1],49,5,0,11,0.5650956284153005
20,no,600,[0.1 0.9 0. ],49,5,0,12,0.5541666666666666
21,no,600,[0.2 0.  0.8],49,5,0,11,0.5625683060109289
22,no,600,[0.2 0.1 0.7],49,5,0,11,0.5612704918032786
23,no,600,[0.2 0.2 0.6],49,5,0,11,0.5503415300546448
24,no,600,[0.2 0.3 0.5],49,5,0,11,0.5503415300546448
25,no,600,[0.2 0.4 0.4],49,5,0,11,0.5503415300546448
26,no,600,[0.2 0.5 0.3],49,5,0,11,0.5503415300546448
27,no,600,[0.2 0.6 0.2],49,5,0,11,0.5650956284153005
28,no,600,[0.2 0.7 0.1],49,5,0,11,0.5645491803278688
29,no,600,[0.2 0.8 0. ],49,5,0,12,0.5541666666666666
30,no,600,[0.3 0.  0.7],49,5,0,11,0.5625683060109289
31,no,600,[0.3 0.1 0.6],49,5,0,11,0.5503415300546448
32,no,600,[0.3 0.2 0.5],49,5,0,11,0.5503415300546448
33,no,600,[0.3 0.3 0.4],49,5,0,11,0.5503415300546448
34,no,600,[0.3 0.4 0.3],49,5,0,11,0.5503415300546448
35,no,600,[0.3 0.5 0.2],49,5,0,11,0.5577185792349726
36,no,600,[0.3 0.6 0.1],49,5,0,11,0.5645491803278688
37,no,600,[0.3 0.7 0. ],49,5,0,12,0.5541666666666666
38,no,600,[0.4 0.  0.6],49,5,0,11,0.5625683060109289
39,no,600,[0.4 0.1 0.5],49,5,0,11,0.5503415300546448
40,no,600,[0.4 0.2 0.4],49,5,0,11,0.5503415300546448
41,no,600,[0.4 0.3 0.3],49,5,0,11,0.5503415300546448
42,no,600,[0.4 0.4 0.2],49,5,0,11,0.5503415300546448
43,no,600,[0.4 0.5 0.1],49,5,0,11,0.5650956284153005
44,no,600,[0.4 0.6 0. ],49,5,0,12,0.5541666666666666
45,no,600,[0.5 0.  0.5],49,5,0,11,0.5625683060109289
46,no,600,[0.5 0.1 0.4],49,5,0,11,0.5503415300546448
47,no,600,[0.5 0.2 0.3],49,5,0,11,0.5503415300546448
48,no,600,[0.5 0.3 0.2],49,5,0,11,0.5503415300546448
49,no,600,[0.5 0.4 0.1],49,5,0,11,0.5650956284153005
50,no,600,[0.5 0.5 0. ],49,5,0,12,0.5541666666666666
51,no,600,[0.6 0.  0.4],49,5,0,11,0.5625683060109289
52,no,600,[0.6 0.1 0.3],49,5,0,11,0.5503415300546448
53,no,600,[0.6 0.2 0.2],49,5,0,11,0.5503415300546448
54,no,600,[0.6 0.3 0.1],49,5,0,11,0.5650956284153005
55,no,600,[0.6 0.4 0. ],49,5,0,12,0.5541666666666666
56,no,600,[0.7 0.  0.3],49,5,0,11,0.5625683060109289
57,no,600,[0.7 0.1 0.2],49,5,0,11,0.5503415300546448
58,no,600,[0.7 0.2 0.1],49,5,0,11,0.5503415300546448
59,no,600,[0.7 0.3 0. ],49,5,0,12,0.5541666666666666
60,no,600,[0.8 0.  0.2],49,5,0,11,0.5625683060109289
61,no,600,[0.8 0.1 0.1],49,5,0,11,0.5503415300546448
62,no,600,[ 0.8  0.2 -0. ],49,5,0,12,0.5541666666666666
63,no,600,[0.9 0.  0.1],49,5,0,11,0.5625683060109289
64,no,600,[ 0.9  0.1 -0. ],49,5,0,12,0.5541666666666666
65,no,600,[1. 0. 0.],49,5,0,11,0.5884335154826958
