rsu,TR,weights,n_veh,n_buses,n_sav,n_chs,stab_eval
yes,200,[0. 0. 1.],49,7,1.1333333333333333,26.833333333333332,0.49155821488787677
yes,200,[0.  0.1 0.9],49,7,1.1333333333333333,26.083333333333332,0.4972768094912842
yes,200,[0.  0.2 0.8],49,7,1.1333333333333333,25.033333333333335,0.4816594661503425
yes,200,[0.  0.3 0.7],49,7,1.1666666666666667,25.233333333333334,0.4885590382034683
yes,200,[0.  0.4 0.6],49,7,1.1666666666666667,25.233333333333334,0.4885590382034683
yes,200,[0.  0.5 0.5],49,7,1.1666666666666667,24.95,0.4867828629897932
yes,200,[0.  0.6 0.4],49,7,1.1666666666666667,24.95,0.4860884185453487
yes,200,[0.  0.7 0.3],49,7,1.2166666666666666,24.583333333333332,0.4812022603437429
yes,200,[0.  0.8 0.2],49,7,1.2166666666666666,24.583333333333332,0.4812022603437429
yes,200,[0.  0.9 0.1],49,7,1.2166666666666666,25.7,0.4829558707180429
yes,200,[0. 1. 0.],49,7,1.2166666666666666,25.85,0.4808899537946493
yes,200,[0.1 0.  0.9],49,7,1.1333333333333333,26.833333333333332,0.49155821488787677
yes,200,[0.1 0.1 0.8],49,7,1.1333333333333333,26.083333333333332,0.4937307102005041
yes,200,[0.1 0.2 0.7],49,7,1.2166666666666666,24.866666666666667,0.48372508645031287
yes,200,[0.1 0.3 0.6],49,7,1.1666666666666667,25.233333333333334,0.4885590382034683
yes,200,[0.1 0.4 0.5],49,7,1.1666666666666667,25.233333333333334,0.4885590382034683
yes,200,[0.1 0.5 0.4],49,7,1.1666666666666667,25.233333333333334,0.4868229270923572
yes,200,[0.1 0.6 0.3],49,7,1.2166666666666666,24.583333333333332,0.4812022603437429
yes,200,[0.1 0.7 0.2],49,7,1.2166666666666666,24.583333333333332,0.4812022603437429
yes,200,[0.1 0.8 0.1],49,7,1.2166666666666666,25.7,0.4829558707180429
yes,200,[0.1 0.9 0. ],49,7,1.2166666666666666,25.7,0.4895787011098003
yes,200,[0.2 0.  0.8],49,7,1.1333333333333333,26.833333333333332,0.49155821488787677
yes,200,[0.2 0.1 0.7],49,7,1.1333333333333333,26.083333333333332,0.4937307102005041
yes,200,[0.2 0.2 0.6],49,7,1.2166666666666666,24.866666666666667,0.4848979693965949
yes,200,[0.2 0.3 0.5],49,7,1.1666666666666667,25.233333333333334,0.4885590382034683
yes,200,[0.2 0.4 0.4],49,7,1.1666666666666667,25.233333333333334,0.4885590382034683
yes,200,[0.2 0.5 0.3],49,7,1.2166666666666666,24.866666666666667,0.4812415068115608
yes,200,[0.2 0.6 0.2],49,7,1.2166666666666666,25.05,0.4799513355706507
yes,200,[0.2 0.7 0.1],49,7,1.2166666666666666,25.7,0.4829558707180429
yes,200,[0.2 0.8 0. ],49,7,1.2166666666666666,25.7,0.4895787011098003
yes,200,[0.3 0.  0.7],49,7,1.1333333333333333,26.833333333333332,0.49155821488787677
yes,200,[0.3 0.1 0.6],49,7,1.1333333333333333,26.083333333333332,0.4937307102005041
yes,200,[0.3 0.2 0.5],49,7,1.2166666666666666,24.866666666666667,0.4848979693965949
yes,200,[0.3 0.3 0.4],49,7,1.1666666666666667,25.416666666666668,0.4872419883950392
yes,200,[0.3 0.4 0.3],49,7,1.1666666666666667,25.416666666666668,0.4855058772839281
yes,200,[0.3 0.5 0.2],49,7,1.2166666666666666,25.05,0.47484929475432414
yes,200,[0.3 0.6 0.1],49,7,1.2166666666666666,25.7,0.49145927207858714
yes,200,[0.3 0.7 0. ],49,7,1.2166666666666666,25.7,0.4895787011098003
yes,200,[0.4 0.  0.6],49,7,1.1333333333333333,26.833333333333332,0.49155821488787677
yes,200,[0.4 0.1 0.5],49,7,1.1333333333333333,26.266666666666666,0.49238563805572544
yes,200,[0.4 0.2 0.4],49,7,1.1666666666666667,25.416666666666668,0.48647809950615034
yes,200,[0.4 0.3 0.3],49,7,1.1666666666666667,25.416666666666668,0.4837697661728169
yes,200,[0.4 0.4 0.2],49,7,1.2333333333333334,25.133333333333333,0.4734207233257527
yes,200,[0.4 0.5 0.1],49,7,1.2166666666666666,25.2,0.47276923195997567
yes,200,[0.4 0.6 0. ],49,7,1.2166666666666666,25.7,0.4895787011098003
yes,200,[0.5 0.  0.5],49,7,1.1333333333333333,26.833333333333332,0.49155821488787677
yes,200,[0.5 0.1 0.4],49,7,1.1333333333333333,26.266666666666666,0.48883953876494535
yes,200,[0.5 0.2 0.3],49,7,1.1666666666666667,25.416666666666668,0.4830058772839281
yes,200,[0.5 0.3 0.2],49,7,1.1833333333333333,25.5,0.4788392106172614
yes,200,[0.5 0.4 0.1],49,7,1.2166666666666666,25.2,0.4799476179072885
yes,200,[0.5 0.5 0. ],49,7,1.2166666666666666,25.7,0.48617734056558254
yes,200,[0.6 0.  0.4],49,7,1.1333333333333333,26.833333333333332,0.4893832739895316
yes,200,[0.6 0.1 0.3],49,7,1.1333333333333333,26.35,0.48482062623539457
yes,200,[0.6 0.2 0.2],49,7,1.1833333333333333,25.5,0.47981143283948363
yes,200,[0.6 0.3 0.1],49,7,1.2166666666666666,25.2,0.48078095124062187
yes,200,[0.6 0.4 0. ],49,7,1.2166666666666666,25.433333333333334,0.49869200160241106
yes,200,[0.7 0.  0.3],49,7,1.1333333333333333,26.833333333333332,0.4893832739895316
yes,200,[0.7 0.1 0.2],49,7,1.2333333333333334,25.133333333333333,0.474565848042306
yes,200,[0.7 0.2 0.1],49,7,1.2166666666666666,25.2,0.4778784569095561
yes,200,[0.7 0.3 0. ],49,7,1.2166666666666666,25.433333333333334,0.4999278292668102
yes,200,[0.8 0.  0.2],49,7,1.1333333333333333,26.833333333333332,0.4893832739895316
yes,200,[0.8 0.1 0.1],49,7,1.1666666666666667,25.566666666666666,0.4846803229099866
yes,200,[ 0.8  0.2 -0. ],49,7,1.2166666666666666,25.433333333333334,0.4971783961602343
yes,200,[0.9 0.  0.1],49,7,1.1333333333333333,26.85,0.47919960423139385
yes,200,[ 0.9  0.1 -0. ],49,7,1.2166666666666666,25.433333333333334,0.4999108224640892
yes,200,[1. 0. 0.],49,7,1.1333333333333333,26.566666666666666,0.4953597178405577
