,rsu,TR,weights,n_veh,n_buses,n_sav,n_chs,eval
0,no,400,[0. 0. 1.],49,5,0,12,0.537089094341718
1,no,400,[0.  0.1 0.9],49,5,0,12,0.5161120828474651
2,no,400,[0.  0.2 0.8],49,5,0,12,0.518985646065856
3,no,400,[0.  0.3 0.7],49,5,0,13,0.5220922677063027
4,no,400,[0.  0.4 0.6],49,5,0,13,0.5191682910981156
5,no,400,[0.  0.5 0.5],49,5,0,13,0.5169753086419753
6,no,400,[0.  0.6 0.4],49,5,0,13,0.5140513320337882
7,no,400,[0.  0.7 0.3],49,5,0,13,0.509672619047619
8,no,400,[0.  0.8 0.2],49,5,0,13,0.5397569444444444
9,no,400,[0.  0.9 0.1],49,5,0,13,0.5486855158730158
10,no,400,[0. 1. 0.],49,5,0,13,0.5486855158730158
11,no,400,[0.1 0.  0.9],49,5,0,12,0.537089094341718
12,no,400,[0.1 0.1 0.8],49,5,0,12,0.5161120828474651
13,no,400,[0.1 0.2 0.7],49,5,0,12,0.518985646065856
14,no,400,[0.1 0.3 0.6],49,5,0,13,0.5191682910981156
15,no,400,[0.1 0.4 0.5],49,5,0,13,0.5162443144899285
16,no,400,[0.1 0.5 0.4],49,5,0,13,0.5140513320337882
17,no,400,[0.1 0.6 0.3],49,5,0,13,0.511127355425601
18,no,400,[0.1 0.7 0.2],49,5,0,13,0.5427331349206349
19,no,400,[0.1 0.8 0.1],49,5,0,13,0.5486855158730158
20,no,400,[0.1 0.9 0. ],49,5,0,13,0.5486855158730158
21,no,400,[0.2 0.  0.8],49,5,0,12,0.537089094341718
22,no,400,[0.2 0.1 0.7],49,5,0,12,0.5161120828474651
23,no,400,[0.2 0.2 0.6],49,5,0,12,0.518985646065856
24,no,400,[0.2 0.3 0.5],49,5,0,13,0.5191682910981156
25,no,400,[0.2 0.4 0.4],49,5,0,13,0.5169753086419753
26,no,400,[0.2 0.5 0.3],49,5,0,13,0.511127355425601
27,no,400,[0.2 0.6 0.2],49,5,0,13,0.5427331349206349
28,no,400,[0.2 0.7 0.1],49,5,0,13,0.5486855158730158
29,no,400,[0.2 0.8 0. ],49,5,0,13,0.5486855158730158
30,no,400,[0.3 0.  0.7],49,5,0,12,0.537089094341718
31,no,400,[0.3 0.1 0.6],49,5,0,12,0.5161120828474651
32,no,400,[0.3 0.2 0.5],49,5,0,12,0.518985646065856
33,no,400,[0.3 0.3 0.4],49,5,0,13,0.5191682910981156
34,no,400,[0.3 0.4 0.3],49,5,0,13,0.5140513320337882
35,no,400,[0.3 0.5 0.2],49,5,0,13,0.509672619047619
36,no,400,[0.3 0.6 0.1],49,5,0,13,0.5486855158730158
37,no,400,[0.3 0.7 0. ],49,5,0,13,0.5486855158730158
38,no,400,[0.4 0.  0.6],49,5,0,12,0.537089094341718
39,no,400,[0.4 0.1 0.5],49,5,0,12,0.5103649564106835
40,no,400,[0.4 0.2 0.4],49,5,0,13,0.5191682910981156
41,no,400,[0.4 0.3 0.3],49,5,0,13,0.5169753086419753
42,no,400,[0.4 0.4 0.2],49,5,0,13,0.511127355425601
43,no,400,[0.4 0.5 0.1],49,5,0,13,0.5397569444444444
44,no,400,[0.4 0.6 0. ],49,5,0,13,0.5486855158730158
45,no,400,[0.5 0.  0.5],49,5,0,12,0.537089094341718
46,no,400,[0.5 0.1 0.4],49,5,0,12,0.518985646065856
47,no,400,[0.5 0.2 0.3],49,5,0,13,0.5191682910981156
48,no,400,[0.5 0.3 0.2],49,5,0,13,0.5140513320337882
49,no,400,[0.5 0.4 0.1],49,5,0,13,0.5397569444444444
50,no,400,[0.5 0.5 0. ],49,5,0,13,0.5486855158730158
51,no,400,[0.6 0.  0.4],49,5,0,12,0.537089094341718
52,no,400,[0.6 0.1 0.3],49,5,0,12,0.518985646065856
53,no,400,[0.6 0.2 0.2],49,5,0,13,0.5169753086419753
54,no,400,[0.6 0.3 0.1],49,5,0,13,0.5427331349206349
55,no,400,[0.6 0.4 0. ],49,5,0,13,0.5486855158730158
56,no,400,[0.7 0.  0.3],49,5,0,12,0.537089094341718
57,no,400,[0.7 0.1 0.2],49,5,0,13,0.5191682910981156
58,no,400,[0.7 0.2 0.1],49,5,0,13,0.511127355425601
59,no,400,[0.7 0.3 0. ],49,5,0,13,0.5486855158730158
60,no,400,[0.8 0.  0.2],49,5,0,12,0.537089094341718
61,no,400,[0.8 0.1 0.1],49,5,0,13,0.5169753086419753
62,no,400,[ 0.8  0.2 -0. ],49,5,0,13,0.5486855158730158
63,no,400,[0.9 0.  0.1],49,5,0,12,0.537089094341718
64,no,400,[ 0.9  0.1 -0. ],49,5,0,13,0.5486855158730158
65,no,400,[1. 0. 0.],49,5,0,15,0.44064177680677935
