,rsu,TR,weights,n_veh,n_buses,n_sav,n_chs,eval
0,no,200,[0. 0. 1.],49,5,5,19,0.33923887887879645
1,no,200,[0.  0.1 0.9],49,5,7,18,0.33396443622160554
2,no,200,[0.  0.2 0.8],49,5,7,18,0.3212406994867019
3,no,200,[0.  0.3 0.7],49,5,6,19,0.3220658854969679
4,no,200,[0.  0.4 0.6],49,5,6,19,0.32806588549696786
5,no,200,[0.  0.5 0.5],49,5,5,18,0.30934366327474566
6,no,200,[0.  0.6 0.4],49,5,5,18,0.30934366327474566
7,no,200,[0.  0.7 0.3],49,5,5,18,0.30934366327474566
8,no,200,[0.  0.8 0.2],49,5,5,18,0.3120992188303012
9,no,200,[0.  0.9 0.1],49,5,4,18,0.33313822592249975
10,no,200,[0. 1. 0.],49,5,6,17,0.3366798925891664
11,no,200,[0.1 0.  0.9],49,5,5,19,0.33923887887879645
12,no,200,[0.1 0.1 0.8],49,5,7,18,0.33396443622160554
13,no,200,[0.1 0.2 0.7],49,5,7,18,0.3212406994867019
14,no,200,[0.1 0.3 0.6],49,5,6,19,0.3253992188303012
15,no,200,[0.1 0.4 0.5],49,5,6,19,0.32806588549696786
16,no,200,[0.1 0.5 0.4],49,5,5,18,0.30934366327474566
17,no,200,[0.1 0.6 0.3],49,5,5,18,0.30934366327474566
18,no,200,[0.1 0.7 0.2],49,5,5,18,0.3089325521636345
19,no,200,[0.1 0.8 0.1],49,5,4,18,0.33313822592249975
20,no,200,[0.1 0.9 0. ],49,5,6,17,0.3366798925891664
21,no,200,[0.2 0.  0.8],49,5,5,19,0.33923887887879645
22,no,200,[0.2 0.1 0.7],49,5,7,18,0.33396443622160554
23,no,200,[0.2 0.2 0.6],49,5,6,19,0.3220658854969679
24,no,200,[0.2 0.3 0.5],49,5,6,19,0.3253992188303012
25,no,200,[0.2 0.4 0.4],49,5,5,18,0.30934366327474566
26,no,200,[0.2 0.5 0.3],49,5,5,18,0.30934366327474566
27,no,200,[0.2 0.6 0.2],49,5,5,18,0.3083992188303012
28,no,200,[0.2 0.7 0.1],49,5,4,18,0.33313822592249975
29,no,200,[0.2 0.8 0. ],49,5,6,17,0.3366798925891664
30,no,200,[0.3 0.  0.7],49,5,5,19,0.33923887887879645
31,no,200,[0.3 0.1 0.6],49,5,7,18,0.33396443622160554
32,no,200,[0.3 0.2 0.5],49,5,6,19,0.3220658854969679
33,no,200,[0.3 0.3 0.4],49,5,6,19,0.32806588549696786
34,no,200,[0.3 0.4 0.3],49,5,5,18,0.30934366327474566
35,no,200,[0.3 0.5 0.2],49,5,5,18,0.30934366327474566
36,no,200,[0.3 0.6 0.1],49,5,4,18,0.33313822592249975
37,no,200,[0.3 0.7 0. ],49,5,6,17,0.3366798925891664
38,no,200,[0.4 0.  0.6],49,5,5,19,0.33923887887879645
39,no,200,[0.4 0.1 0.5],49,5,7,18,0.33396443622160554
40,no,200,[0.4 0.2 0.4],49,5,6,19,0.3253992188303012
41,no,200,[0.4 0.3 0.3],49,5,5,18,0.30934366327474566
42,no,200,[0.4 0.4 0.2],49,5,5,18,0.30934366327474566
43,no,200,[0.4 0.5 0.1],49,5,4,18,0.3298048925891665
44,no,200,[0.4 0.6 0. ],49,5,6,17,0.3366798925891664
45,no,200,[0.5 0.  0.5],49,5,5,19,0.33923887887879645
46,no,200,[0.5 0.1 0.4],49,5,7,18,0.3212406994867019
47,no,200,[0.5 0.2 0.3],49,5,6,19,0.32806588549696786
48,no,200,[0.5 0.3 0.2],49,5,5,18,0.30934366327474566
49,no,200,[0.5 0.4 0.1],49,5,5,18,0.3120992188303012
50,no,200,[0.5 0.5 0. ],49,5,6,17,0.3366798925891664
51,no,200,[0.6 0.  0.4],49,5,5,19,0.33923887887879645
52,no,200,[0.6 0.1 0.3],49,5,6,19,0.3220658854969679
53,no,200,[0.6 0.2 0.2],49,5,5,18,0.30934366327474566
54,no,200,[0.6 0.3 0.1],49,5,5,18,0.3083992188303012
55,no,200,[0.6 0.4 0. ],49,5,6,17,0.3366798925891664
56,no,200,[0.7 0.  0.3],49,5,5,19,0.33923887887879645
57,no,200,[0.7 0.1 0.2],49,5,6,19,0.3253992188303012
58,no,200,[0.7 0.2 0.1],49,5,5,18,0.30934366327474566
59,no,200,[0.7 0.3 0. ],49,5,6,17,0.3366798925891664
60,no,200,[0.8 0.  0.2],49,5,5,19,0.33923887887879645
61,no,200,[0.8 0.1 0.1],49,5,5,18,0.30934366327474566
62,no,200,[ 0.8  0.2 -0. ],49,5,6,17,0.3366798925891664
63,no,200,[0.9 0.  0.1],49,5,5,19,0.33923887887879645
64,no,200,[ 0.9  0.1 -0. ],49,5,6,17,0.3366798925891664
65,no,200,[1. 0. 0.],49,5,8,18,0.28692872186382334
