,rsu,TR,weights,n_veh,n_buses,n_sav,n_chs,eval
0,no,200,[0. 0. 1.],49,6,5,21,0.3458369649471544
1,no,200,[0.  0.1 0.9],49,6,5,20,0.32692854033995533
2,no,200,[0.  0.2 0.8],49,6,5,20,0.31352975130814725
3,no,200,[0.  0.3 0.7],49,6,5,21,0.317675822948651
4,no,200,[0.  0.4 0.6],49,6,5,21,0.32248137850420655
5,no,200,[0.  0.5 0.5],49,6,5,20,0.3016157305596796
6,no,200,[0.  0.6 0.4],49,6,5,20,0.3016157305596796
7,no,200,[0.  0.7 0.3],49,6,5,20,0.3016157305596796
8,no,200,[0.  0.8 0.2],49,6,5,20,0.30097302903462514
9,no,200,[0.  0.9 0.1],49,6,4,20,0.3078565558091711
10,no,200,[0. 1. 0.],49,6,5,20,0.2975787780313933
11,no,200,[0.1 0.  0.9],49,6,5,21,0.3458369649471544
12,no,200,[0.1 0.1 0.8],49,6,5,20,0.32692854033995533
13,no,200,[0.1 0.2 0.7],49,6,5,20,0.31352975130814725
14,no,200,[0.1 0.3 0.6],49,6,5,21,0.3210091562819843
15,no,200,[0.1 0.4 0.5],49,6,5,21,0.32248137850420655
16,no,200,[0.1 0.5 0.4],49,6,5,20,0.3016157305596796
17,no,200,[0.1 0.6 0.3],49,6,5,20,0.3016157305596796
18,no,200,[0.1 0.7 0.2],49,6,5,20,0.30051551269475585
19,no,200,[0.1 0.8 0.1],49,6,4,20,0.3078565558091711
20,no,200,[0.1 0.9 0. ],49,6,5,20,0.2975787780313933
21,no,200,[0.2 0.  0.8],49,6,5,21,0.3458369649471544
22,no,200,[0.2 0.1 0.7],49,6,5,20,0.32692854033995533
23,no,200,[0.2 0.2 0.6],49,6,5,21,0.317675822948651
24,no,200,[0.2 0.3 0.5],49,6,5,21,0.32000915628198434
25,no,200,[0.2 0.4 0.4],49,6,5,20,0.3016157305596796
26,no,200,[0.2 0.5 0.3],49,6,5,20,0.3016157305596796
27,no,200,[0.2 0.6 0.2],49,6,5,20,0.29998174363157504
28,no,200,[0.2 0.7 0.1],49,6,4,20,0.3078565558091711
29,no,200,[0.2 0.8 0. ],49,6,5,20,0.2975787780313933
30,no,200,[0.3 0.  0.7],49,6,5,21,0.3458369649471544
31,no,200,[0.3 0.1 0.6],49,6,5,20,0.32692854033995533
32,no,200,[0.3 0.2 0.5],49,6,5,21,0.317675822948651
33,no,200,[0.3 0.3 0.4],49,6,5,21,0.32248137850420655
34,no,200,[0.3 0.4 0.3],49,6,5,20,0.3016157305596796
35,no,200,[0.3 0.5 0.2],49,6,5,20,0.3016157305596796
36,no,200,[0.3 0.6 0.1],49,6,4,20,0.3078565558091711
37,no,200,[0.3 0.7 0. ],49,6,5,20,0.2975787780313933
38,no,200,[0.4 0.  0.6],49,6,5,21,0.3458369649471544
39,no,200,[0.4 0.1 0.5],49,6,5,20,0.32692854033995533
40,no,200,[0.4 0.2 0.4],49,6,5,21,0.3210091562819843
41,no,200,[0.4 0.3 0.3],49,6,5,20,0.3016157305596796
42,no,200,[0.4 0.4 0.2],49,6,5,20,0.3016157305596796
43,no,200,[0.4 0.5 0.1],49,6,4,20,0.3078565558091711
44,no,200,[0.4 0.6 0. ],49,6,5,20,0.2975787780313933
45,no,200,[0.5 0.  0.5],49,6,5,21,0.3458369649471544
46,no,200,[0.5 0.1 0.4],49,6,5,20,0.31352975130814725
47,no,200,[0.5 0.2 0.3],49,6,5,21,0.32248137850420655
48,no,200,[0.5 0.3 0.2],49,6,5,20,0.3016157305596796
49,no,200,[0.5 0.4 0.1],49,6,5,20,0.30097302903462514
50,no,200,[0.5 0.5 0. ],49,6,5,20,0.2975787780313933
51,no,200,[0.6 0.  0.4],49,6,5,21,0.3458369649471544
52,no,200,[0.6 0.1 0.3],49,6,5,21,0.317675822948651
53,no,200,[0.6 0.2 0.2],49,6,5,20,0.3016157305596796
54,no,200,[0.6 0.3 0.1],49,6,5,20,0.29998174363157504
55,no,200,[0.6 0.4 0. ],49,6,5,20,0.2975787780313933
56,no,200,[0.7 0.  0.3],49,6,5,21,0.3458369649471544
57,no,200,[0.7 0.1 0.2],49,6,5,21,0.3210091562819843
58,no,200,[0.7 0.2 0.1],49,6,5,20,0.3016157305596796
59,no,200,[0.7 0.3 0. ],49,6,5,20,0.2975787780313933
60,no,200,[0.8 0.  0.2],49,6,5,21,0.3458369649471544
61,no,200,[0.8 0.1 0.1],49,6,5,20,0.3016157305596796
62,no,200,[ 0.8  0.2 -0. ],49,6,5,20,0.2975787780313933
63,no,200,[0.9 0.  0.1],49,6,5,21,0.3458369649471544
64,no,200,[ 0.9  0.1 -0. ],49,6,5,20,0.2975787780313933
65,no,200,[1. 0. 0.],49,6,4,21,0.334287418481171
