,rsu,TR,weights,n_veh,n_buses,n_sav,n_chs,eval
0,no,600,[0. 0. 1.],49,5,0,10,0.6057086202761504
1,no,600,[0.  0.1 0.9],49,5,0,10,0.593301212868743
2,no,600,[0.  0.2 0.8],49,5,0,10,0.5738567684242983
3,no,600,[0.  0.3 0.7],49,5,0,10,0.5738567684242983
4,no,600,[0.  0.4 0.6],49,5,0,10,0.5683012128687428
5,no,600,[0.  0.5 0.5],49,5,0,10,0.5900181159420288
6,no,600,[0.  0.6 0.4],49,5,0,11,0.6127958937198066
7,no,600,[0.  0.7 0.3],49,5,0,11,0.6127958937198066
8,no,600,[0.  0.8 0.2],49,5,0,11,0.6044625603864733
9,no,600,[0.  0.9 0.1],49,5,0,11,0.6064070048309177
10,no,600,[0. 1. 0.],49,5,0,11,0.5934208937198068
11,no,600,[0.1 0.  0.9],49,5,0,10,0.6057086202761504
12,no,600,[0.1 0.1 0.8],49,5,0,10,0.593301212868743
13,no,600,[0.1 0.2 0.7],49,5,0,10,0.5738567684242983
14,no,600,[0.1 0.3 0.6],49,5,0,10,0.5766345462020761
15,no,600,[0.1 0.4 0.5],49,5,0,10,0.5816847826086956
16,no,600,[0.1 0.5 0.4],49,5,0,11,0.6052958937198067
17,no,600,[0.1 0.6 0.3],49,5,0,11,0.6127958937198066
18,no,600,[0.1 0.7 0.2],49,5,0,11,0.6044625603864733
19,no,600,[0.1 0.8 0.1],49,5,0,11,0.6064070048309177
20,no,600,[0.1 0.9 0. ],49,5,0,11,0.5934208937198068
21,no,600,[0.2 0.  0.8],49,5,0,10,0.6057086202761504
22,no,600,[0.2 0.1 0.7],49,5,0,10,0.5849678795354097
23,no,600,[0.2 0.2 0.6],49,5,0,10,0.5738567684242983
24,no,600,[0.2 0.3 0.5],49,5,0,10,0.5683012128687428
25,no,600,[0.2 0.4 0.4],49,5,0,10,0.5900181159420288
26,no,600,[0.2 0.5 0.3],49,5,0,11,0.6127958937198066
27,no,600,[0.2 0.6 0.2],49,5,0,11,0.6127958937198066
28,no,600,[0.2 0.7 0.1],49,5,0,11,0.60362922705314
29,no,600,[0.2 0.8 0. ],49,5,0,11,0.5934208937198068
30,no,600,[0.3 0.  0.7],49,5,0,10,0.6057086202761504
31,no,600,[0.3 0.1 0.6],49,5,0,10,0.5849678795354097
32,no,600,[0.3 0.2 0.5],49,5,0,10,0.5738567684242983
33,no,600,[0.3 0.3 0.4],49,5,0,10,0.5816847826086956
34,no,600,[0.3 0.4 0.3],49,5,0,11,0.61362922705314
35,no,600,[0.3 0.5 0.2],49,5,0,11,0.6127958937198066
36,no,600,[0.3 0.6 0.1],49,5,0,11,0.6044625603864733
37,no,600,[0.3 0.7 0. ],49,5,0,11,0.5934208937198068
38,no,600,[0.4 0.  0.6],49,5,0,10,0.6057086202761504
39,no,600,[0.4 0.1 0.5],49,5,0,10,0.5821901017576319
40,no,600,[0.4 0.2 0.4],49,5,0,10,0.5766345462020761
41,no,600,[0.4 0.3 0.3],49,5,0,10,0.5900181159420288
42,no,600,[0.4 0.4 0.2],49,5,0,11,0.6127958937198066
43,no,600,[0.4 0.5 0.1],49,5,0,11,0.6044625603864733
44,no,600,[0.4 0.6 0. ],49,5,0,11,0.5934208937198068
45,no,600,[0.5 0.  0.5],49,5,0,10,0.6057086202761504
46,no,600,[0.5 0.1 0.4],49,5,0,10,0.5738567684242983
47,no,600,[0.5 0.2 0.3],49,5,0,10,0.5683012128687428
48,no,600,[0.5 0.3 0.2],49,5,0,11,0.6127958937198066
49,no,600,[0.5 0.4 0.1],49,5,0,11,0.6044625603864733
50,no,600,[0.5 0.5 0. ],49,5,0,11,0.5934208937198068
51,no,600,[0.6 0.  0.4],49,5,0,10,0.6057086202761504
52,no,600,[0.6 0.1 0.3],49,5,0,10,0.5738567684242983
53,no,600,[0.6 0.2 0.2],49,5,0,10,0.5900181159420288
54,no,600,[0.6 0.3 0.1],49,5,0,11,0.6127958937198066
55,no,600,[0.6 0.4 0. ],49,5,0,11,0.5934208937198068
56,no,600,[0.7 0.  0.3],49,5,0,10,0.6057086202761504
57,no,600,[0.7 0.1 0.2],49,5,0,10,0.5766345462020761
58,no,600,[0.7 0.2 0.1],49,5,0,11,0.6127958937198066
59,no,600,[0.7 0.3 0. ],49,5,0,11,0.5934208937198068
60,no,600,[0.8 0.  0.2],49,5,0,10,0.6057086202761504
61,no,600,[0.8 0.1 0.1],49,5,0,10,0.5900181159420288
62,no,600,[ 0.8  0.2 -0. ],49,5,0,11,0.5934208937198068
63,no,600,[0.9 0.  0.1],49,5,0,10,0.6057086202761504
64,no,600,[ 0.9  0.1 -0. ],49,5,0,11,0.5934208937198068
65,no,600,[1. 0. 0.],49,5,0,11,0.6189070048309179
