,rsu,TR,weights,n_veh,n_buses,n_sav,n_chs,eval
0,no,400,[0. 0. 1.],49,7,0,18,0.5505297205227367
1,no,400,[0.  0.1 0.9],49,7,0,18,0.5307557092233017
2,no,400,[0.  0.2 0.8],49,7,0,18,0.5307557092233017
3,no,400,[0.  0.3 0.7],49,7,0,18,0.5307557092233017
4,no,400,[0.  0.4 0.6],49,7,0,18,0.5307557092233017
5,no,400,[0.  0.5 0.5],49,7,0,18,0.5307557092233017
6,no,400,[0.  0.6 0.4],49,7,0,18,0.5487308429118772
7,no,400,[0.  0.7 0.3],49,7,0,18,0.5336013645224171
8,no,400,[0.  0.8 0.2],49,7,0,17,0.5139087301587301
9,no,400,[0.  0.9 0.1],49,7,0,16,0.5250219979296065
10,no,400,[0. 1. 0.],49,7,0,15,0.4970976353928297
11,no,400,[0.1 0.  0.9],49,7,0,18,0.5505297205227367
12,no,400,[0.1 0.1 0.8],49,7,0,18,0.5307557092233017
13,no,400,[0.1 0.2 0.7],49,7,0,18,0.5307557092233017
14,no,400,[0.1 0.3 0.6],49,7,0,18,0.5307557092233017
15,no,400,[0.1 0.4 0.5],49,7,0,18,0.5307557092233017
16,no,400,[0.1 0.5 0.4],49,7,0,18,0.5307557092233017
17,no,400,[0.1 0.6 0.3],49,7,0,18,0.5336013645224171
18,no,400,[0.1 0.7 0.2],49,7,0,18,0.5306042884990253
19,no,400,[0.1 0.8 0.1],49,7,0,16,0.5250219979296065
20,no,400,[0.1 0.9 0. ],49,7,0,15,0.4970976353928297
21,no,400,[0.2 0.  0.8],49,7,0,18,0.5505297205227367
22,no,400,[0.2 0.1 0.7],49,7,0,18,0.5307557092233017
23,no,400,[0.2 0.2 0.6],49,7,0,18,0.5307557092233017
24,no,400,[0.2 0.3 0.5],49,7,0,18,0.5307557092233017
25,no,400,[0.2 0.4 0.4],49,7,0,18,0.5307557092233017
26,no,400,[0.2 0.5 0.3],49,7,0,18,0.5336013645224171
27,no,400,[0.2 0.6 0.2],49,7,0,18,0.5336013645224171
28,no,400,[0.2 0.7 0.1],49,7,0,16,0.5250219979296065
29,no,400,[0.2 0.8 0. ],49,7,0,15,0.4970976353928297
30,no,400,[0.3 0.  0.7],49,7,0,18,0.5505297205227367
31,no,400,[0.3 0.1 0.6],49,7,0,18,0.5307557092233017
32,no,400,[0.3 0.2 0.5],49,7,0,18,0.5307557092233017
33,no,400,[0.3 0.3 0.4],49,7,0,18,0.5307557092233017
34,no,400,[0.3 0.4 0.3],49,7,0,18,0.5307557092233017
35,no,400,[0.3 0.5 0.2],49,7,0,18,0.5336013645224171
36,no,400,[0.3 0.6 0.1],49,7,0,16,0.5250219979296065
37,no,400,[0.3 0.7 0. ],49,7,0,15,0.4970976353928297
38,no,400,[0.4 0.  0.6],49,7,0,18,0.5505297205227367
39,no,400,[0.4 0.1 0.5],49,7,0,18,0.5222811329521153
40,no,400,[0.4 0.2 0.4],49,7,0,18,0.5307557092233017
41,no,400,[0.4 0.3 0.3],49,7,0,18,0.5307557092233017
42,no,400,[0.4 0.4 0.2],49,7,0,18,0.5336013645224171
43,no,400,[0.4 0.5 0.1],49,7,0,16,0.5160934265010351
44,no,400,[0.4 0.6 0. ],49,7,0,15,0.4970976353928297
45,no,400,[0.5 0.  0.5],49,7,0,18,0.5505297205227367
46,no,400,[0.5 0.1 0.4],49,7,0,18,0.5307557092233017
47,no,400,[0.5 0.2 0.3],49,7,0,18,0.5307557092233017
48,no,400,[0.5 0.3 0.2],49,7,0,18,0.5487308429118772
49,no,400,[0.5 0.4 0.1],49,7,0,17,0.5139087301587301
50,no,400,[0.5 0.5 0. ],49,7,0,15,0.4970976353928297
51,no,400,[0.6 0.  0.4],49,7,0,18,0.5505297205227367
52,no,400,[0.6 0.1 0.3],49,7,0,18,0.5307557092233017
53,no,400,[0.6 0.2 0.2],49,7,0,18,0.5307557092233017
54,no,400,[0.6 0.3 0.1],49,7,0,18,0.5336013645224171
55,no,400,[0.6 0.4 0. ],49,7,0,15,0.4970976353928297
56,no,400,[0.7 0.  0.3],49,7,0,18,0.5505297205227367
57,no,400,[0.7 0.1 0.2],49,7,0,18,0.5307557092233017
58,no,400,[0.7 0.2 0.1],49,7,0,18,0.5336013645224171
59,no,400,[0.7 0.3 0. ],49,7,0,15,0.4970976353928297
60,no,400,[0.8 0.  0.2],49,7,0,18,0.5505297205227367
61,no,400,[0.8 0.1 0.1],49,7,0,18,0.5307557092233017
62,no,400,[ 0.8  0.2 -0. ],49,7,0,15,0.4970976353928297
63,no,400,[0.9 0.  0.1],49,7,0,18,0.5505297205227367
64,no,400,[ 0.9  0.1 -0. ],49,7,0,15,0.4970976353928297
65,no,400,[1. 0. 0.],49,7,0,16,0.520937862502386
