,rsu,bus,TR,weights,vcsm,vcsm_r,AR,average_R,CCR,avg_L_CM,ECHR,avg_ch_lifetime_role,avg_ch_lifetime_effective,num_ch_role_episodes,num_ch_effective_episodes,num_cm_episodes,total_ch_role_time,total_ch_effective_time,total_ch_role_time_raw,total_empty_ch_time,total_presence,total_clustered_time,total_switches,vcsm_cm,average_R_CM,average_R_CM_weighted,AR_CM_conditional,CCR_CM,num_cm_vehicles,total_A_CM,total_P_CM_vehicles,total_switches_CM,n_vehs,n_buses,avg_chs,avg_savs,connection_evaluation
0,False,False,100,"[0, 0, 1]",0.6891339869281049,0.6278600280770655,0.6391752577319587,0.9882427843803057,0.007042253521126761,7.0,0.6579925650557621,14.54054054054054,18.4,37,10,18,538.0,184.0,538.0,354.0,485.0,310.0,2.0,0.7256302521008403,0.9871323529411765,0.9861111111111112,0.7411764705882353,0.009174311926605505,17,126.0,170.0,1.0,49,0,28.7,7.1,21.0
1,False,False,100,"[0, 1, 0]",0.6719771241830067,0.5928813755726398,0.6247422680412371,0.9594083092519777,0.01444043321299639,6.578947368421052,0.6628787878787878,14.27027027027027,16.181818181818183,37,11,19,528.0,178.0,528.0,350.0,485.0,303.0,4.0,0.6964799253034547,0.9683088235294117,0.9604,0.7352941176470589,0.018518518518518517,17,125.0,170.0,2.0,49,0,28.6,7.3,20.9
2,False,False,100,"[1, 0, 0]",0.6891339869281049,0.6278600280770655,0.6391752577319587,0.9882427843803057,0.007042253521126761,7.0,0.6579925650557621,14.54054054054054,18.4,37,10,18,538.0,184.0,538.0,354.0,485.0,310.0,2.0,0.7256302521008403,0.9871323529411765,0.9861111111111112,0.7411764705882353,0.009174311926605505,17,126.0,170.0,1.0,49,0,28.7,7.1,21.0
