,rsu,TR,weights,n_veh,n_buses,n_sav,n_chs,stab_eval,connected_componentes
0,no,500,[0. 0. 1.],49,5,0.1,10.6,0.543779277215093,10.6
1,no,500,[0.  0.1 0.9],49,5,0.1,10.6,0.542366847836562,10.6
2,no,500,[0.  0.2 0.8],49,5,0.1,10.6,0.5508414241077483,10.6
3,no,500,[0.  0.3 0.7],49,5,0.1,10.6,0.5508414241077483,10.6
4,no,500,[0.  0.4 0.6],49,5,0.1,10.6,0.5521846167520377,10.6
5,no,500,[0.  0.5 0.5],49,5,0.1,10.6,0.5521541013025015,10.6
6,no,500,[0.  0.6 0.4],49,5,0.1,10.6,0.5521541013025015,10.6
7,no,500,[0.  0.7 0.3],49,5,0.1,10.6,0.5337925193815977,10.6
8,no,500,[0.  0.8 0.2],49,5,0.1,10.6,0.5366173781386598,10.6
9,no,500,[0.  0.9 0.1],49,5,0.1,10.6,0.5366173781386598,10.6
10,no,500,[0. 1. 0.],49,5,0.1,10.6,0.532430762148029,10.6
11,no,500,[0.1 0.  0.9],49,5,0.1,10.6,0.5522538534862793,10.6
12,no,500,[0.1 0.1 0.8],49,5,0.1,10.6,0.5508414241077483,10.6
13,no,500,[0.1 0.2 0.7],49,5,0.1,10.6,0.5536662828648105,10.6
14,no,500,[0.1 0.3 0.6],49,5,0.1,10.6,0.5535970461305687,10.6
15,no,500,[0.1 0.4 0.5],49,5,0.1,10.6,0.5521846167520377,10.6
16,no,500,[0.1 0.5 0.4],49,5,0.1,10.6,0.5521541013025015,10.6
17,no,500,[0.1 0.6 0.3],49,5,0.1,10.6,0.5451091193502103,10.6
18,no,500,[0.1 0.7 0.2],49,5,0.1,10.6,0.538046972457555,10.6
19,no,500,[0.1 0.8 0.1],49,5,0.1,10.6,0.5352010008238449,10.6
20,no,500,[0.1 0.9 0. ],49,5,0.1,10.6,0.5351098763478107,10.6
21,no,500,[0.2 0.  0.8],49,5,0.1,10.6,0.5522538534862793,10.6
22,no,500,[0.2 0.1 0.7],49,5,0.1,10.6,0.5607284297574657,10.6
23,no,500,[0.2 0.2 0.6],49,5,0.1,10.6,0.5536834478051745,10.6
24,no,500,[0.2 0.3 0.5],49,5,0.1,10.6,0.5550266404494638,10.6
25,no,500,[0.2 0.4 0.4],49,5,0.1,10.6,0.5549961249999277,10.6
26,no,500,[0.2 0.5 0.3],49,5,0.1,10.6,0.5422842605931482,10.6
27,no,500,[0.2 0.6 0.2],49,5,0.1,10.6,0.5465004358520934,10.6
28,no,500,[0.2 0.7 0.1],49,5,0.1,10.6,0.5352010008238449,10.6
29,no,500,[0.2 0.8 0. ],49,5,0.1,10.6,0.5322850175907485,10.6
30,no,500,[0.3 0.  0.7],49,5,0.1,10.6,0.5550787122433415,10.6
31,no,500,[0.3 0.1 0.6],49,5,0.1,10.6,0.5692201709690164,10.6
32,no,500,[0.3 0.2 0.5],49,5,0.1,10.6,0.5649828828334232,10.6
33,no,500,[0.3 0.3 0.4],49,5,0.1,10.6,0.5549961249999277,10.6
34,no,500,[0.3 0.4 0.3],49,5,0.1,10.6,0.5535625827447489,10.6
35,no,500,[0.3 0.5 0.2],49,5,0.1,10.6,0.5394382889594381,10.6
36,no,500,[0.3 0.6 0.1],49,5,0.1,10.6,0.540759593861935,10.6
37,no,500,[0.3 0.7 0. ],49,5,0.1,10.6,0.5286127012065678,10.6
38,no,500,[0.4 0.  0.6],49,5,0.1,10.6,0.5579035710004037,10.6
39,no,500,[0.4 0.1 0.5],49,5,0.1,10.6,0.5663953122119542,10.6
40,no,500,[0.4 0.2 0.4],49,5,0.1,10.6,0.5649828828334232,10.6
41,no,500,[0.4 0.3 0.3],49,5,0.1,10.6,0.5606247296374042,10.6
42,no,500,[0.4 0.4 0.2],49,5,0.1,10.6,0.5394382889594381,10.6
43,no,500,[0.4 0.5 0.1],49,5,0.1,10.6,0.5365223057263417,10.6
44,no,500,[0.4 0.6 0. ],49,5,0.1,10.6,0.540759593861935,10.6
45,no,500,[0.5 0.  0.5],49,5,0.1,10.6,0.5607284297574657,10.6
46,no,500,[0.5 0.1 0.4],49,5,0.1,10.6,0.5663953122119542,10.6
47,no,500,[0.5 0.2 0.3],49,5,0.1,10.6,0.5634495883944663,10.6
48,no,500,[0.5 0.3 0.2],49,5,0.1,10.6,0.5464093113760593,10.6
49,no,500,[0.5 0.4 0.1],49,5,0.1,10.6,0.5379347351048728,10.6
50,no,500,[0.5 0.5 0. ],49,5,0.1,10.6,0.5421720232404661,10.6
51,no,500,[0.6 0.  0.4],49,5,0.1,10.6,0.5607284297574657,10.6
52,no,500,[0.6 0.1 0.3],49,5,0.1,10.6,0.5663953122119542,10.6
53,no,500,[0.6 0.2 0.2],49,5,0.1,10.6,0.561946034539901,10.6
54,no,500,[0.6 0.3 0.1],49,5,0.1,10.6,0.5506465995116525,10.6
55,no,500,[0.6 0.4 0. ],49,5,0.1,10.6,0.5392958034150938,10.6
56,no,500,[0.7 0.  0.3],49,5,0.1,10.6,0.5549875877673073,10.6
