,rsu,TR,weights,n_veh,n_buses,n_sav,n_chs,eval
0,no,400,[0. 0. 1.],49,6,2,14,0.5274689110028266
1,no,400,[0.  0.1 0.9],49,6,2,14,0.5163264125721924
2,no,400,[0.  0.2 0.8],49,6,2,14,0.5163264125721924
3,no,400,[0.  0.3 0.7],49,6,2,14,0.5232519157088122
4,no,400,[0.  0.4 0.6],49,6,2,14,0.5203783524904214
5,no,400,[0.  0.5 0.5],49,6,2,14,0.5175047892720306
6,no,400,[0.  0.6 0.4],49,6,2,14,0.5146312260536398
7,no,400,[0.  0.7 0.3],49,6,2,14,0.5117576628352489
8,no,400,[0.  0.8 0.2],49,6,2,14,0.5110867446393761
9,no,400,[0.  0.9 0.1],49,6,2,14,0.5207358674463937
10,no,400,[0. 1. 0.],49,6,2,13,0.4896791187739463
11,no,400,[0.1 0.  0.9],49,6,2,14,0.5274689110028266
12,no,400,[0.1 0.1 0.8],49,6,2,14,0.5163264125721924
13,no,400,[0.1 0.2 0.7],49,6,2,14,0.5163264125721924
14,no,400,[0.1 0.3 0.6],49,6,2,14,0.5203783524904214
15,no,400,[0.1 0.4 0.5],49,6,2,14,0.5175047892720306
16,no,400,[0.1 0.5 0.4],49,6,2,14,0.5146312260536398
17,no,400,[0.1 0.6 0.3],49,6,2,14,0.5117576628352489
18,no,400,[0.1 0.7 0.2],49,6,2,14,0.5110867446393761
19,no,400,[0.1 0.8 0.1],49,6,2,14,0.5178118908382066
20,no,400,[0.1 0.9 0. ],49,6,2,13,0.4896791187739463
21,no,400,[0.2 0.  0.8],49,6,2,14,0.5274689110028266
22,no,400,[0.2 0.1 0.7],49,6,2,14,0.5163264125721924
23,no,400,[0.2 0.2 0.6],49,6,2,14,0.5163264125721924
24,no,400,[0.2 0.3 0.5],49,6,2,14,0.5203783524904214
25,no,400,[0.2 0.4 0.4],49,6,2,14,0.5175047892720306
26,no,400,[0.2 0.5 0.3],49,6,2,14,0.5117576628352489
27,no,400,[0.2 0.6 0.2],49,6,2,14,0.5110867446393761
28,no,400,[0.2 0.7 0.1],49,6,2,14,0.5178118908382066
29,no,400,[0.2 0.8 0. ],49,6,2,13,0.4896791187739463
30,no,400,[0.3 0.  0.7],49,6,2,14,0.5274689110028266
31,no,400,[0.3 0.1 0.6],49,6,2,14,0.5163264125721924
32,no,400,[0.3 0.2 0.5],49,6,2,14,0.5163264125721924
33,no,400,[0.3 0.3 0.4],49,6,2,14,0.5203783524904214
34,no,400,[0.3 0.4 0.3],49,6,2,14,0.5146312260536398
35,no,400,[0.3 0.5 0.2],49,6,2,14,0.5117576628352489
36,no,400,[0.3 0.6 0.1],49,6,2,14,0.5169346978557504
37,no,400,[0.3 0.7 0. ],49,6,2,13,0.4896791187739463
38,no,400,[0.4 0.  0.6],49,6,2,14,0.5274689110028266
39,no,400,[0.4 0.1 0.5],49,6,2,14,0.5078518363010059
40,no,400,[0.4 0.2 0.4],49,6,2,14,0.5203783524904214
41,no,400,[0.4 0.3 0.3],49,6,2,14,0.5175047892720306
42,no,400,[0.4 0.4 0.2],49,6,2,14,0.5117576628352489
43,no,400,[0.4 0.5 0.1],49,6,2,14,0.508162768031189
44,no,400,[0.4 0.6 0. ],49,6,2,13,0.4896791187739463
45,no,400,[0.5 0.  0.5],49,6,2,14,0.5274689110028266
46,no,400,[0.5 0.1 0.4],49,6,2,14,0.5163264125721924
47,no,400,[0.5 0.2 0.3],49,6,2,14,0.5203783524904214
48,no,400,[0.5 0.3 0.2],49,6,2,14,0.5146312260536398
49,no,400,[0.5 0.4 0.1],49,6,2,14,0.5110867446393761
50,no,400,[0.5 0.5 0. ],49,6,2,13,0.4896791187739463
51,no,400,[0.6 0.  0.4],49,6,2,14,0.5274689110028266
52,no,400,[0.6 0.1 0.3],49,6,2,14,0.5163264125721924
53,no,400,[0.6 0.2 0.2],49,6,2,14,0.5175047892720306
54,no,400,[0.6 0.3 0.1],49,6,2,14,0.5110867446393761
55,no,400,[0.6 0.4 0. ],49,6,2,13,0.4896791187739463
56,no,400,[0.7 0.  0.3],49,6,2,14,0.5274689110028266
57,no,400,[0.7 0.1 0.2],49,6,2,14,0.5203783524904214
58,no,400,[0.7 0.2 0.1],49,6,2,14,0.5117576628352489
59,no,400,[0.7 0.3 0. ],49,6,2,13,0.4896791187739463
60,no,400,[0.8 0.  0.2],49,6,2,14,0.5274689110028266
61,no,400,[0.8 0.1 0.1],49,6,2,14,0.5175047892720306
62,no,400,[ 0.8  0.2 -0. ],49,6,2,13,0.4896791187739463
63,no,400,[0.9 0.  0.1],49,6,2,14,0.5274689110028266
64,no,400,[ 0.9  0.1 -0. ],49,6,2,13,0.4896791187739463
65,no,400,[1. 0. 0.],49,6,2,13,0.49731565068529554
