,rsu,TR,weights,n_veh,n_buses,n_sav,n_chs,stab_eval,connected_componentes
0,yes,500,[0. 0. 1.],49,7,0.216666667,11.35,0.548305635,11.35
1,yes,500,[0.  0.1 0.9],49,7,0.216666667,11.35,0.537552947,11.35
2,yes,500,[0.  0.2 0.8],49,7,0.216666667,11.35,0.548519433,11.35
3,yes,500,[0.  0.3 0.7],49,7,0.216666667,11.35,0.537766744,11.35
4,yes,500,[0.  0.4 0.6],49,7,0.216666667,11.35,0.535078572,11.35
5,yes,500,[0.  0.5 0.5],49,7,0.216666667,11.35,0.533711313,11.35
6,yes,500,[0.  0.6 0.4],49,7,0.216666667,11.35,0.533711313,11.35
7,yes,500,[0.  0.7 0.3],49,7,0.216666667,11.38333333,0.515431743,11.38333333
8,yes,500,[0.  0.8 0.2],49,7,0.216666667,11.38333333,0.515431743,11.38333333
9,yes,500,[0.  0.9 0.1],49,7,0.216666667,11.38333333,0.515431743,11.38333333
10,yes,500,[0. 1. 0.],49,7,0.216666667,11.38333333,0.521025364,11.38333333
11,yes,500,[0.1 0.  0.9],49,7,0.216666667,11.35,0.550993807,11.35
12,yes,500,[0.1 0.1 0.8],49,7,0.216666667,11.35,0.548305635,11.35
13,yes,500,[0.1 0.2 0.7],49,7,0.216666667,11.35,0.548519433,11.35
14,yes,500,[0.1 0.3 0.6],49,7,0.216666667,11.35,0.537766744,11.35
15,yes,500,[0.1 0.4 0.5],49,7,0.216666667,11.35,0.533711313,11.35
16,yes,500,[0.1 0.5 0.4],49,7,0.216666667,11.35,0.533711313,11.35
17,yes,500,[0.1 0.6 0.3],49,7,0.216666667,11.38333333,0.534248947,11.38333333
18,yes,500,[0.1 0.7 0.2],49,7,0.216666667,11.38333333,0.515431743,11.38333333
19,yes,500,[0.1 0.8 0.1],49,7,0.216666667,11.38333333,0.515431743,11.38333333
20,yes,500,[0.1 0.9 0. ],49,7,0.216666667,11.38333333,0.512672829,11.38333333
21,yes,500,[0.2 0.  0.8],49,7,0.216666667,11.35,0.550993807,11.35
22,yes,500,[0.2 0.1 0.7],49,7,0.216666667,11.35,0.545571115,11.35
23,yes,500,[0.2 0.2 0.6],49,7,0.216666667,11.35,0.537766744,11.35
24,yes,500,[0.2 0.3 0.5],49,7,0.216666667,11.35,0.533711313,11.35
25,yes,500,[0.2 0.4 0.4],49,7,0.216666667,11.35,0.533711313,11.35
26,yes,500,[0.2 0.5 0.3],49,7,0.216666667,11.38333333,0.534248947,11.38333333
27,yes,500,[0.2 0.6 0.2],49,7,0.216666667,11.38333333,0.515431743,11.38333333
28,yes,500,[0.2 0.7 0.1],49,7,0.216666667,11.38333333,0.515431743,11.38333333
29,yes,500,[0.2 0.8 0. ],49,7,0.216666667,11.38333333,0.512672829,11.38333333
30,yes,500,[0.3 0.  0.7],49,7,0.216666667,11.35,0.550993807,11.35
31,yes,500,[0.3 0.1 0.6],49,7,0.216666667,11.35,0.548259287,11.35
32,yes,500,[0.3 0.2 0.5],49,7,0.216666667,11.35,0.540454917,11.35
33,yes,500,[0.3 0.3 0.4],49,7,0.216666667,11.35,0.533711313,11.35
34,yes,500,[0.3 0.4 0.3],49,7,0.216666667,11.38333333,0.534248947,11.38333333
35,yes,500,[0.3 0.5 0.2],49,7,0.216666667,11.38333333,0.523496259,11.38333333
36,yes,500,[0.3 0.6 0.1],49,7,0.216666667,11.38333333,0.515431743,11.38333333
37,yes,500,[0.3 0.7 0. ],49,7,0.216666667,11.38333333,0.514040089,11.38333333
38,yes,500,[0.4 0.  0.6],49,7,0.216666667,11.35,0.550993807,11.35
39,yes,500,[0.4 0.1 0.5],49,7,0.216666667,11.35,0.540194771,11.35
40,yes,500,[0.4 0.2 0.4],49,7,0.216666667,11.35,0.530762995,11.35
41,yes,500,[0.4 0.3 0.3],49,7,0.216666667,11.38333333,0.534248947,11.38333333
42,yes,500,[0.4 0.4 0.2],49,7,0.216666667,11.38333333,0.534248947,11.38333333
43,yes,500,[0.4 0.5 0.1],49,7,0.216666667,11.38333333,0.515431743,11.38333333
44,yes,500,[0.4 0.6 0. ],49,7,0.216666667,11.38333333,0.514040089,11.38333333
45,yes,500,[0.5 0.  0.5],49,7,0.216666667,11.35,0.548259287,11.35
46,yes,500,[0.5 0.1 0.4],49,7,0.216666667,11.35,0.538827511,11.35
47,yes,500,[0.5 0.2 0.3],49,7,0.216666667,11.35,0.530762995,11.35
48,yes,500,[0.5 0.3 0.2],49,7,0.216666667,11.38333333,0.534248947,11.38333333
49,yes,500,[0.5 0.4 0.1],49,7,0.216666667,11.38333333,0.520725149,11.38333333
50,yes,500,[0.5 0.5 0. ],49,7,0.216666667,11.38333333,0.514040089,11.38333333
51,yes,500,[0.6 0.  0.4],49,7,0.216666667,11.35,0.546892027,11.35
52,yes,500,[0.6 0.1 0.3],49,7,0.216666667,11.35,0.536139339,11.35
53,yes,500,[0.6 0.2 0.2],49,7,0.216666667,11.38333333,0.533988801,11.38333333
54,yes,500,[0.6 0.3 0.1],49,7,0.216666667,11.38333333,0.535545465,11.38333333
55,yes,500,[0.6 0.4 0. ],49,7,0.216666667,11.38333333,0.522104605,11.38333333
56,yes,500,[0.7 0.  0.3],49,7,0.216666667,11.38333333,0.539365145,11.38333333
57,yes,500,[0.7 0.1 0.2],49,7,0.216666667,11.38333333,0.538044233,11.38333333
58,yes,500,[0.7 0.2 0.1],49,7,0.216666667,11.38333333,0.532597148,11.38333333
59,yes,500,[0.7 0.3 0. ],49,7,0.216666667,11.38333333,0.527480949,11.38333333
60,yes,500,[0.8 0.  0.2],49,7,0.216666667,11.38333333,0.540732405,11.38333333
61,yes,500,[0.8 0.1 0.1],49,7,0.216666667,11.38333333,0.532597148,11.38333333
62,yes,500,[ 0.8  0.2 -0. ],49,7,0.216666667,11.38333333,0.532597148,11.38333333
63,yes,500,[0.9 0.  0.1],49,7,0.216666667,11.38333333,0.537973492,11.38333333
64,yes,500,[ 0.9  0.1 -0. ],49,7,0.216666667,11.38333333,0.529908976,11.38333333
65,yes,500,[1. 0. 0.],49,7,0.216666667,11.38333333,0.53528532,11.38333333
