,rsu,TR,weights,n_veh,n_buses,n_sav,n_chs,stab_eval,connected_componentes
0,yes,200,[0. 0. 1.],49,7,1.1,25.8,0.332455276,25.8
1,yes,200,[0.  0.1 0.9],49,7,1.116666667,24.88333333,0.326443146,24.88333333
2,yes,200,[0.  0.2 0.8],49,7,1.133333333,24.1,0.326941981,24.1
3,yes,200,[0.  0.3 0.7],49,7,1.166666667,24.76666667,0.353709884,24.76666667
4,yes,200,[0.  0.4 0.6],49,7,1.166666667,24.76666667,0.353281067,24.76666667
5,yes,200,[0.  0.5 0.5],49,7,1.166666667,24.76666667,0.35170874,24.76666667
6,yes,200,[0.  0.6 0.4],49,7,1.166666667,24.76666667,0.351079809,24.76666667
7,yes,200,[0.  0.7 0.3],49,7,1.25,24.28333333,0.346985004,24.28333333
8,yes,200,[0.  0.8 0.2],49,7,1.25,24.28333333,0.346985004,24.28333333
9,yes,200,[0.  0.9 0.1],49,7,1.25,24.9,0.337262782,24.9
10,yes,200,[0. 1. 0.],49,7,1.216666667,24.63333333,0.305502617,24.63333333
11,yes,200,[0.1 0.  0.9],49,7,1.116666667,25.58333333,0.324188412,25.58333333
12,yes,200,[0.1 0.1 0.8],49,7,1.116666667,24.88333333,0.324666762,24.88333333
13,yes,200,[0.1 0.2 0.7],49,7,1.25,24.28333333,0.34984856,24.28333333
14,yes,200,[0.1 0.3 0.6],49,7,1.166666667,24.76666667,0.353281067,24.76666667
15,yes,200,[0.1 0.4 0.5],49,7,1.166666667,24.76666667,0.353281067,24.76666667
16,yes,200,[0.1 0.5 0.4],49,7,1.166666667,24.76666667,0.35170874,24.76666667
17,yes,200,[0.1 0.6 0.3],49,7,1.25,24.28333333,0.346985004,24.28333333
18,yes,200,[0.1 0.7 0.2],49,7,1.25,24.28333333,0.346985004,24.28333333
19,yes,200,[0.1 0.8 0.1],49,7,1.25,24.9,0.344978831,24.9
20,yes,200,[0.1 0.9 0. ],49,7,1.25,24.9,0.336167838,24.9
21,yes,200,[0.2 0.  0.8],49,7,1.116666667,25.41666667,0.326452432,25.41666667
22,yes,200,[0.2 0.1 0.7],49,7,1.116666667,24.88333333,0.324666762,24.88333333
23,yes,200,[0.2 0.2 0.6],49,7,1.25,24.28333333,0.34984856,24.28333333
24,yes,200,[0.2 0.3 0.5],49,7,1.166666667,24.76666667,0.353281067,24.76666667
25,yes,200,[0.2 0.4 0.4],49,7,1.166666667,24.76666667,0.353281067,24.76666667
26,yes,200,[0.2 0.5 0.3],49,7,1.25,24.28333333,0.346985004,24.28333333
27,yes,200,[0.2 0.6 0.2],49,7,1.25,24.28333333,0.346985004,24.28333333
28,yes,200,[0.2 0.7 0.1],49,7,1.25,24.9,0.344978831,24.9
29,yes,200,[0.2 0.8 0. ],49,7,1.25,24.9,0.336465457,24.9
30,yes,200,[0.3 0.  0.7],49,7,1.116666667,25.41666667,0.326452432,25.41666667
31,yes,200,[0.3 0.1 0.6],49,7,1.116666667,24.88333333,0.324666762,24.88333333
