,rsu,TR,weights,n_veh,n_buses,n_sav,n_chs,stab_eval,connected_componentes
0,yes,300,[0. 0. 1.],49,7,0.466666667,17.98333333,0.45325469,17.98333333
1,yes,300,[0.  0.1 0.9],49,7,0.466666667,17.98333333,0.446070782,17.98333333
2,yes,300,[0.  0.2 0.8],49,7,0.466666667,17.98333333,0.446046132,17.98333333
3,yes,300,[0.  0.3 0.7],49,7,0.466666667,17.98333333,0.457540384,17.98333333
4,yes,300,[0.  0.4 0.6],49,7,0.466666667,17.98333333,0.454671028,17.98333333
5,yes,300,[0.  0.5 0.5],49,7,0.466666667,17.98333333,0.433718668,17.98333333
6,yes,300,[0.  0.6 0.4],49,7,0.466666667,17.98333333,0.433534465,17.98333333
7,yes,300,[0.  0.7 0.3],49,7,0.466666667,17.98333333,0.431537834,17.98333333
8,yes,300,[0.  0.8 0.2],49,7,0.416666667,19.3,0.411836127,19.3
9,yes,300,[0.  0.9 0.1],49,7,0.416666667,19.05,0.420001653,19.05
10,yes,300,[0. 1. 0.],49,7,0.466666667,18.93333333,0.412364002,18.93333333
11,yes,300,[0.1 0.  0.9],49,7,0.466666667,17.98333333,0.45325469,17.98333333
12,yes,300,[0.1 0.1 0.8],49,7,0.466666667,17.98333333,0.448944345,17.98333333
13,yes,300,[0.1 0.2 0.7],49,7,0.466666667,17.98333333,0.448919695,17.98333333
14,yes,300,[0.1 0.3 0.6],49,7,0.466666667,17.98333333,0.457540384,17.98333333
15,yes,300,[0.1 0.4 0.5],49,7,0.466666667,17.98333333,0.44518827,17.98333333
16,yes,300,[0.1 0.5 0.4],49,7,0.466666667,17.98333333,0.433718668,17.98333333
17,yes,300,[0.1 0.6 0.3],49,7,0.466666667,17.98333333,0.433534465,17.98333333
18,yes,300,[0.1 0.7 0.2],49,7,0.416666667,19.3,0.411836127,19.3
19,yes,300,[0.1 0.8 0.1],49,7,0.466666667,18.85,0.41369015,18.85
20,yes,300,[0.1 0.9 0. ],49,7,0.466666667,18.93333333,0.414549794,18.93333333
21,yes,300,[0.2 0.  0.8],49,7,0.466666667,17.73333333,0.447682677,17.73333333
22,yes,300,[0.2 0.1 0.7],49,7,0.466666667,17.73333333,0.447668673,17.73333333
23,yes,300,[0.2 0.2 0.6],49,7,0.466666667,17.73333333,0.443407152,17.73333333
24,yes,300,[0.2 0.3 0.5],49,7,0.466666667,17.98333333,0.457540384,17.98333333
25,yes,300,[0.2 0.4 0.4],49,7,0.466666667,17.98333333,0.435155449,17.98333333
26,yes,300,[0.2 0.5 0.3],49,7,0.466666667,17.98333333,0.433534465,17.98333333
