,Unnamed: 0,rsu,TR,weights,n_veh,n_buses,n_sav,n_chs,stab_eval,connected_componentes
38,38,no,500,[0.4 0.  0.6],49,5,0.1,10.6,0.5579035710004037,10.6
39,39,no,500,[0.4 0.1 0.5],49,5,0.1,10.6,0.5663953122119542,10.6
40,40,no,500,[0.4 0.2 0.4],49,5,0.1,10.6,0.5649828828334232,10.6
41,41,no,500,[0.4 0.3 0.3],49,5,0.1,10.6,0.5606247296374042,10.6
42,42,no,500,[0.4 0.4 0.2],49,5,0.1,10.6,0.5394382889594381,10.6
43,43,no,500,[0.4 0.5 0.1],49,5,0.1,10.6,0.5365223057263417,10.6
44,44,no,500,[0.4 0.6 0. ],49,5,0.1,10.6,0.540759593861935,10.6
45,45,no,500,[0.5 0.  0.5],49,5,0.1,10.6,0.5607284297574657,10.6
46,46,no,500,[0.5 0.1 0.4],49,5,0.1,10.6,0.5663953122119542,10.6
47,47,no,500,[0.5 0.2 0.3],49,5,0.1,10.6,0.5634495883944663,10.6
48,48,no,500,[0.5 0.3 0.2],49,5,0.1,10.6,0.5464093113760593,10.6
49,49,no,500,[0.5 0.4 0.1],49,5,0.1,10.6,0.5379347351048728,10.6
50,50,no,500,[0.5 0.5 0. ],49,5,0.1,10.6,0.5421720232404661,10.6
51,51,no,500,[0.6 0.  0.4],49,5,0.1,10.6,0.5607284297574657,10.6
52,52,no,500,[0.6 0.1 0.3],49,5,0.1,10.6,0.5663953122119542,10.6
53,53,no,500,[0.6 0.2 0.2],49,5,0.1,10.6,0.561946034539901,10.6
54,54,no,500,[0.6 0.3 0.1],49,5,0.1,10.6,0.5506465995116525,10.6
55,55,no,500,[0.6 0.4 0. ],49,5,0.1,10.6,0.5392958034150938,10.6
56,56,no,500,[0.7 0.  0.3],49,5,0.1,10.6,0.5549875877673073,10.6
57,57,no,500,[0.7 0.1 0.2],49,5,0.1,10.6,0.5620152712741427,10.6
58,58,no,500,[0.7 0.2 0.1],49,5,0.1,10.6,0.56053360516137,10.6
59,59,no,500,[0.7 0.3 0. ],49,5,0.1,10.6,0.5491828090648112,10.6
60,60,no,500,[0.8 0.  0.2],49,5,0.1,10.6,0.5536185920159858,10.6
61,61,no,500,[0.8 0.1 0.1],49,5,0.1,10.6,0.5577266220702394,10.6
62,62,no,500,[ 0.8  0.2 -0. ],49,5,0.1,10.6,0.5491828090648112,10.6
63,63,no,500,[0.9 0.  0.1],49,5,0.1166666666666666,10.5,0.5439407332028002,10.5
64,64,no,500,[ 0.9  0.1 -0. ],49,5,0.1,10.6,0.5605467905969174,10.6
65,65,no,500,[1. 0. 0.],49,5,0.1166666666666666,10.5,0.5411629554250224,10.5
66,0,no,300,[0. 0. 1.],49,5,0.5333333333333333,16.833333333333332,0.4324625685506268,16.833333333333332
67,1,no,300,[0.  0.1 0.9],49,5,0.5333333333333333,16.833333333333332,0.4280510383782132,16.833333333333332
68,2,no,300,[0.  0.2 0.8],49,5,0.55,17.366666666666667,0.423722515500229,17.366666666666667
69,3,no,300,[0.  0.3 0.7],49,5,0.55,17.4,0.4356478028565509,17.4
70,4,no,300,[0.  0.4 0.6],49,5,0.55,17.4,0.4356478028565509,17.4
71,5,no,300,[0.  0.5 0.5],49,5,0.6333333333333333,16.966666666666665,0.4445659497218281,16.966666666666665
